id,name,attack,hp,exp,minGem,maxGem,type,dropId,monsterLevel,fieldSpeedRatio,firstEntranceSectionNum,firstEntranceDropEssenceId,Chapter,originalHP
MagicSoldierB,마법병사B,122400,395137147,8719,43,86,monster,900014,502,0.86,15,105_000015,7,795055
RiverStone,리버스톤,122400,437705823,8750,43,86,monster,900014,503,0.86,8,105_000015,7,583300
MagicSoldierA,마법병사A,122400,468067731,8750,43,87,monster,900014,503,0.87,15,105_000015,7,801124
Warrior Specter,전사 스펙터,124100,416208021,8813,43,86,monster,900014,505,0.87,0,105_000015,7,819322
Red Shadow,붉은 그림자,125800,402607731,8876,43,86,monster,900014,507,0.87,8,105_000015,7,817907
Thralled Guard,의식에 휘말린 근위병,125800,464144169,8907,43,87,monster,900014,508,0.87,16,105_000015,7,807877
EliteBoss_Warrior Specter,엘리트 전사 스펙터,191250,4969002674,44850,48,97,boss,900072,510,0.88,15,105_000015,7,164026917
Doraji,도라지,127500,472281422,13996,43,87,monster,900015,511,0.88,1,105_000016,8,3399348
OldDoraji,늙은 도라지,132600,447404883,14100,43,87,monster,900015,513,0.88,1,105_000016,8,2978808
EliteBoss_Doraji,엘리트 도라지,198900,4359449858,70760,48,96,boss,900073,514,0.88,4,105_000016,8,405889326
The Book Ghost,비급,137700,443627576,14205,43,86,monster,900015,515,0.88,11,105_000016,8,3386502
Jar,단지,142800,498281273,14362,43,87,monster,900015,518,0.89,11,105_000016,8,2604999
BabyWhiteMonkey,흰털아기원숭이,142800,516228744,14468,44,87,monster,900015,520,0.89,12,105_000016,8,2279376
Wild Monkey,사나운 원숭이,142800,515475236,14468,44,87,monster,900015,520,0.89,12,105_000016,8,3357471
Mama Monkey,어미 원숭이,147900,429573383,14627,43,86,monster,900015,523,0.89,0,105_000016,8,2827344
EliteBoss_WhiteFurMommyMonkey,엘리트 흰털 어미원숭이,229500,4679392613,73935,48,97,boss,900074,526,0.89,12,105_000016,8,407386768
Red Flower Serpent,홍화사,168300,453845158,15163,43,87,monster,900015,533,0.9,1,105_000016,8,2682495
StarSquirrel,별다람쥐,168300,533777998,15271,44,87,monster,900015,535,0.9,1,105_000016,8,2473926
Sikhye Crock,식혜 항아리,173400,512623210,15434,44,87,monster,900015,538,0.9,8,105_000016,8,4526127
EliteBoss_Red Flower Serpent,엘리트 홍화사,260100,5297135143,77170,49,97,boss,900075,538,0.9,5,105_000016,8,428137817
Jar of Stagnant Water,고인 물 항아리,178500,514114020,15543,44,87,monster,900015,540,0.91,8,105_000016,8,4560243
Sage Cat,묘선,188700,481584089,15818,43,87,monster,900015,545,0.91,0,105_000016,8,5379375
Jinseng Jar,삼단지,193800,551395337,16095,44,87,monster,900016,550,0.91,13,105_000017,8,4095636
EliteBoss_Sage Cat,엘리트 묘선,290700,5076654791,80475,49,97,boss,900076,550,0.91,1,105_000016,8,543194321
Broken Sikhye Crock,깨진 식혜 항아리,198900,534278409,16206,44,87,monster,900016,552,0.91,13,105_000017,8,3065709
Lupin,루팡,204000,516082173,16374,44,87,monster,900016,555,0.92,10,105_000017,8,3931080
WhiteFurBigMonkey,흰털 대장원숭이,209100,526812883,16543,44,87,monster,900016,558,0.92,0,105_000017,8,3310383
WhiteFurMommyMonkey,흰털 어미원숭이,214200,541353489,16655,44,87,monster,900016,560,0.92,10,105_000017,8,5310468
EliteBoss_WhiteFurBigMonkey,엘리트 흰털 대장원숭이,321300,5552796632,83845,49,97,boss,900077,562,0.92,10,105_000017,8,766279271
Peach Monkey,원공,219300,536083526,16939,44,87,monster,900016,565,0.92,9,105_000017,8,2896587
Ogong,오공,224400,586597309,17168,44,88,monster,900016,569,0.93,0,105_000017,8,4338486
EliteBoss_Ogong,엘리트 오공,351900,5551106644,87280,49,97,boss,900078,574,0.93,9,105_000017,8,1010548456
WildBear,야생곰,234600,594692294,17513,44,88,monster,900016,575,0.93,2,105_000017,8,4095636
WildPanda,야생판다,239700,607360434,17687,44,88,monster,900016,578,0.93,2,105_000017,8,3350046
Reindeer,천록,244800,620540441,17862,44,88,monster,900016,581,0.94,0,105_000017,8,4797366
EliteBoss_Reindeer,엘리트 천록,382500,6148835093,91070,49,98,boss,900079,587,0.94,2,105_000017,8,1192063176
GreenFrog,초록개구리,270300,663068736,18629,44,88,monster,900016,594,0.94,0,105_000017,8,4410390
RedFrog,빨강개구리,270300,621154758,18749,44,88,monster,900016,596,0.94,6,105_000017,8,4375386
Chunky Striped Gourd,뒤뚱줄무늬박,270300,651860276,18749,44,88,monster,900016,596,0.94,3,105_000017,8,5355474
PurpleFrog,보라개구리,275400,600800199,18868,44,88,monster,900016,598,0.95,6,105_000017,8,4955796
Anti's Egg,계란,275400,598892121,18928,44,88,monster,900016,599,0.95,3,105_000017,8,3571743
EliteBoss_GreenFrog,엘리트 초록개구리,420750,6172257856,94940,49,98,boss,900080,600,0.95,6,105_000017,8,1586208629
