SetID,CharID,Name,Level,MaxHP,MaxMP,MP,PhysicalAttack,MagicalAttack,Defence,MagicalResistance,AttackSpeed,AttackRange,SkillRange,CriticalPercent,CriticalDamagePercent,BloodAbsorptionPercent,MoveSpeed
C000043,C00004,무공,3,2268,130,60,158,125,30,30,0.91,5,100,0,140,0,1
C000051,C00005,미르,1,800,180,100,75,85,50,50,1.04,4,100,0,140,0,1
C000052,C00005,미르,2,1440,180,100,113,128,50,50,1.04,4,100,0,140,0,1
C000053,C00005,미르,3,2592,180,100,169,192,50,50,1.04,4,100,0,140,0,1
C900011,C90001,초보 전사,1,350,0,0,30,100,20,20,0.85,1,100,0,140,0,1
C900012,C90001,초보 전사,2,1,0,0,1,100,1,1,0.85,1,100,0,140,0,1
C900013,C90001,초보 전사,3,1,0,0,1,100,1,1,0.85,1,100,0,140,0,1
C900021,C90002,초보 마법사,1,350,0,0,20,100,15,15,0.91,4,100,0,140,0,1
C900022,C90002,초보 마법사,2,1,0,0,1,100,1,1,0.91,4,100,0,140,0,1
C900023,C90002,초보 마법사,3,1,0,0,1,100,1,1,0.91,4,100,0,140,0,1
C900031,C90003,반 레온,1,2000,80,80,120,100,40,40,2.60,1,100,0,140,0,1
C900032,C90003,반 레온,2,1,0,0,1,100,1,1,2.60,1,100,0,140,0,1
C900033,C90003,반 레온,3,1,0,0,1,100,1,1,2.60,1,100,0,140,0,1
C900041,C90004,붉은 피에르,1,2500,80,35,100,100,400,40,1.43,1,100,0,140,0,1
C900042,C90004,붉은 피에르,2,1,0,0,1,100,1,1,1.43,1,100,0,140,0,1
C900043,C90004,붉은 피에르,3,1,0,0,1,100,1,1,1.43,1,100,0,140,0,1
C900051,C90005,푸른 피에르,1,2500,80,35,100,100,40,400,1.43,1,100,0,140,0,1
C900052,C90005,푸른 피에르,2,1,0,0,1,100,1,1,1.43,1,100,0,140,0,1
C900053,C90005,푸른 피에르,3,1,0,0,1,100,1,1,1.43,1,100,0,140,0,1
C900061,C90006,가디언 엔젤 슬라임,1,9999,90,55,100,100,0,0,1.30,4,100,0,140,0,1
C900062,C90006,가디언 엔젤 슬라임,2,1,0,0,1,100,1,1,1.30,4,100,0,140,0,1
C900063,C90006,가디언 엔젤 슬라임,3,1,0,0,1,100,1,1,1.30,4,100,0,140,0,1
C900071,C90007,윌,1,4000,60,20,120,100,60,60,1.17,2,100,0,140,0,1
C900072,C90007,윌,2,1,0,0,1,100,1,1,1.17,2,100,0,140,0,1
C900073,C90007,윌,3,1,0,0,1,100,1,1,1.17,2,100,0,140,0,1
C900081,C90008,검은 마법사,1,99999999,0,0,1000,100,1000,1000,1.56,10,100,0,140,0,1
C900082,C90008,검은 마법사,2,1,0,0,1,100,1,1,1.56,10,100,0,140,0,1
C900083,C90008,검은 마법사,3,1,0,0,1,100,1,1,1.56,10,100,0,140,0,1
C000001,C00000,허수아비,1,800,0,0,0,100,0,0,1.30,10,100,0,140,0,1
C000002,C00000,허수아비,2,1440,0,0,0,100,0,0,1.30,10,100,0,140,0,1
C000003,C00000,허수아비,3,2592,0,0,0,100,0,0,1.30,10,100,0,140,0,1
