Name(ko),Key,header_1,header_1_desc,coef_1,header_2,header_2_desc,coef_2,header_3,header_3_desc,coef_3,header_4,header_4_desc,coef_4,header_5,header_5_desc,coef_5,header_6,header_6_desc,coef_6,header_7,header_7_desc,coef_7,StatusEffect_1,StatusEffect_2,StatusEffect_3
헬레나,SkillDesc_Active_C50007,SkillDescCoef_59,발사 화살 수,"int,1/2/4,int",SkillDescCoef_113,화살 피해량,"sum,2+3,ad","TakingDamageRate,SkillDescCoef_3",피해량 (공격력 비례),"ad,2.0/2.5/3.5,ad","TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,0.4/0.4/0.5,ap",,,,,,,,,,,,
파풀라투스,SkillDesc_Active_C50008,"SkillDescCoef_90,SkillDescCoef_5",체력 회복량 (마력 비례),"ap,0.2/0.3/0.4,hp","SkillDescCoef_73,SkillDescCoef_5",시계폭탄 피해량 (마력 비례),"ap,3.0/4.0/5.0,ap",,,,,,,,,,,,,,,,,,
도깨비,SkillDesc_Active_C50009,SkillDescCoef_20,기본 스킬 타격 횟수,"int,2/2/2,int","SkillDescCoef_21,SkillDescCoef_4","기본 스킬 피해량 (공격력 비례, 1회당)","ad,1.5/1.5/1.5,ad",SkillDescCoef_12,강화 스킬 타격 횟수,"int,3/3/3,int","SkillDescCoef_13,SkillDescCoef_1",강화 스킬 피해량 (1회당),"sum,4+5,ad","SkillDescCoef_13,SkillDescCoef_3",강화 스킬 피해량 (공격력 비례),"ad,1.3/1.3/1.3,ad","SkillDescCoef_13,SkillDescCoef_10",강화 스킬 피해량 (최대 체력 비례),"hp,0.1/0.1/0.12,hp",,,,SE0016,,
프랑켄로이드,SkillDesc_Active_C50010,TakingDamageRate,피해량,"sum,1+2,ad","TakingDamageRate,SkillDescCoef_3",피해량 (공격력 비례),"ad,1.0/1.2/1.5,ad","TakingDamageRate,SkillDescCoef_10",피해량 (최대 체력 비례),"hp,0.10/0.12/0.15,hp",SkillDescCoef_29,기절 지속시간,"int,1.2/1.2/1.2,int","SkillDescCoef_94,SkillDescCoef_5",추가 고정 피해량 (마력 비례),"ap,0.8/0.8/0.8,ap",,,,,,,SE0004,,
시노,SkillDesc_Active_C50011,"TakingDamageRate,SkillDescCoef_6","피해량 (마력 비례, 1회당)","ap,0.7/0.75/0.8,ap",SkillDescCoef_29,기절 지속시간,"int,0.5/0.5/0.5,int",,,,,,,,,,,,,,,,SE0004,,
게이트키퍼,SkillDesc_Active_C50012,"TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,3.5/3.5/3.7,ap",,,,,,,,,,,,,,,,,,,,,
스칼리온,SkillDesc_Active_C50013,"SkillDescCoef_33,SkillDescCoef_3",내려치기 피해량 (공격력 비례),"ad,2.7/3.4/5.5,ad","SkillDescCoef_39,SkillDescCoef_3",돌리온 피해량 (공격력 비례),"ad,2.3/2.8/4.5,ad",SkillDescCoef_29,기절 지속시간,"int,1/1/1,int",,,,,,,,,,,,,,,
예티와페페,SkillDesc_Active_C00001,TakingDamageRate,피해량,"sum,1+2+3,ad","TakingDamageRate,SkillDescCoef_10",피해량 (최대 체력 비례),"hp,0.1/0.1/0.12,hp","TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,0.7/1.2/1.5,ap","TakingDamageRate,SkillDescCoef_8",피해량 (받은 데미지 비례),"int,30/60/100,emp",SkillDescCoef_29,기절 지속시간,"int,1.2/1.2/1.2,int",,,,,,,,,
도도,SkillDesc_Active_C00002,"SkillDescCoef_63,SkillDescCoef_10",보호막 획득량 (최대 체력 비례),"hp,0.22/0.22/0.22,emp",SkillDescCoef_107,폭발 범위,"int,1/2/3,emp",SkillDescCoef_106,폭발 마법 피해량,"ap,2/2.3/3.6,ap",,,,,,,,,,,,,,,
무공,SkillDesc_Active_C00004,SkillDescCoef_17,공격력 증가량,"sum,1+2,ad","SkillDescCoef_86,SkillDescCoef_3",증가량 (공격력 비례),"ad,0.1/0.1/0.12,ad","SkillDescCoef_86,SkillDescCoef_5",증가량 (마력 비례),"ap,0.1/0.15/0.2,ap","SkillDescCoef_15,SkillDescCoef_5",공격속도 증가량 (마력 비례),"ap,0.35/0.35/0.45,ap",,,,,,,,,,,,
미르,SkillDesc_Active_C00005,"TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,1.5/1.8/2.2,ap",SkillDescCoef_29,기절 지속시간,"int,1.6/1.6/2.4,emp",,,,,,,,,,,,,,,,,,
스톤골렘,SkillDesc_Passive_C10005,SkillDescCoef_110,피해 감소량,"sum,1+2,ap","SkillDescCoef_11,SkillDescCoef_5",감소량 (마력 비례),"ap,0.04/0.06/0.08,ap","SkillDescCoef_11,SkillDescCoef_10",감소량 (최대 체력 비례),"hp,0.01/0.01/0.01,hp",,,,,,,,,,,,,,,
네펜데스,SkillDesc_Passive_C10012,"TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,0.8/0.8/0.8,ap",,,,,,,,,,,,,,,,,,,,,
월묘,SkillDesc_Passive_C10014,SkillDescCoef_15,공격 속도 증가량,"int,2/3/4,emp",SkillDescCoef_122,흡혈 증가량,"int,20/25/30,emp",,,,,,,,,,,,,,,,,,
마스터소울테니,SkillDesc_Passive_C20006,"TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,0.7/0.7/0.8,ap","SkillDescCoef_118,SkillDescCoef_5",회복량 (마력 비례),"ap,0.25/0.25/0.30,ap",,,,,,,,,,,,,,,,,,
이카르트,SkillDesc_Passive_C20007,TakingDamageRate,피해량,"sum,1+2,ad","TakingDamageRate,SkillDescCoef_3",피해량 (공격력 비례),"ad,0.55/0.55/0.55,ad","TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,0.05/0.05/0.05,ap",,,,,,,,,,,,,,,
폼폼나무,SkillDesc_Passive_C20018,"SkillDescCoef_118,SkillDescCoef_5",회복량 (마력 비례),"ap,0.6/0.6/0.7,ap",,,,,,,,,,,,,,,,,,,,,
샘의정령,SkillDesc_Passive_C20020,"TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,0.5/0.5/0.6,ap","SkillDescCoef_118,SkillDescCoef_3",회복량 (공격력 비례),"ad,0.3/0.4/0.4,hp",SkillDescCoef_41,둔화 지속시간,"int,1/1/1,int",SkillDescCoef_119,회복력 감소 지속시간,"int,1/1/1,int",,,,,,,,,,SE0014,SE0010,
라이칸스로프,SkillDesc_Passive_C30008,"SkillDescCoef_95,SkillDescCoef_5",추가 피해량 (마력 비례),"ap,0.03/0.03/0.03,ap",,,,,,,,,,,,,,,,,,,,,
다크로드,SkillDesc_Passive_C30010,"TakingDamageRate,SkillDescCoef_3",피해량 (공격력 비례),"ad,0.60/0.60/0.60,ad",,,,,,,,,,,,,,,,,,,,,
파우스트,SkillDesc_Passive_C30012,"SkillDescCoef_56,SkillDescCoef_5",바나나 피해량 (마력 비례),"ap,0.8/0.9/1.0,ap",,,,,,,,,,,,,,,,,,,,,
자동경비시스템,SkillDesc_Passive_C30015,"TakingDamageRate,SkillDescCoef_5",피해량 (마력 비례),"ap,1.1/1.1/1.2,ap",,,,,,,,,,,,,,,,,,,,,
웨어울프,SkillDesc_Passive_C30019,SkillDescCoef_83,적 처치 시 공격력 증가량,"int,3/3/3,ad",,,,,,,,,,,,,,,,,,,,,
하인즈,SkillDesc_Passive_C40002,"SkillDescCoef_115,SkillDescCoef_5",화염 피해량 (마력 비례),"ap,0.7/0.8/0.9,ap","SkillDescCoef_34,SkillDescCoef_5",냉각 피해량 (마력 비례),"ap,0.9/0.95/1.0,ap","SkillDescCoef_70,SkillDescCoef_5",섬광 피해량 (마력 비례),"ap,0.75/0.75/0.75,ap",SkillDescCoef_69,섬광 공격 속도 증가량,"int,20/30/40,as",SkillDescCoef_124,냉각 둔화 지속시간,"int,3/3/3,int",SkillDescCoef_125,섬광 버프 지속시간,"int,6/6/6,int",,,,SE0014,,
오즈,SkillDesc_Passive_C40003,SkillDescCoef_84,적 처치 시 마력 증가량,"int,4/4/4,ap",,,,,,,,,,,,,,,,,,,,,
주니어발록,SkillDesc_Passive_C40006,"SkillDescCoef_98,SkillDescCoef_5",출혈 피해 비율 (마력 비례),"ap,0.03/0.03/0.03,ap",SkillDescCoef_97,출혈 지속시간,"int,4/4/4,int",,,,,,,,,,,,,,,,,,
핑크빈,SkillDesc_Passive_C50001,"SkillDescCoef_19,SkillDescCoef_5",기본 공격 추가 피해량 (마력 비례),"ap,0.7/0.7/0.8,ap",,,,,,,,,,,,,,,,,,,,,
시그너스,SkillDesc_Passive_C50004,SkillDescCoef_15,공격 속도 증가량,"int,4/8/20,int",,,,,,,,,,,,,,,,,,,,,
루시드,SkillDesc_Passive_C50005,SkillDescCoef_102,패시브 - 무적 지속시간,"int,2/2/2,int",SkillDescCoef_103,패시브 - 체력 회복량,"hp,0.4/0.6/1.0,hp",,,,,,,,,,,,,,,,SE0001,,
파풀라투스,SkillDesc_Passive_C50008,SkillDescCoef_18,괘종시계 기본 공격 피해량,"sum,1+2,ap","SkillDescCoef_18,SkillDescCoef_5",괘종시계 기본 공격 피해량(마력 비례),"ap,0.8/0.8/1.2,ap","SkillDescCoef_18,SkillDescCoef_10",괘종시계 기본 공격 피해량(최대 체력 비례),"hp,0.02/0.02/0.05,hp",SkillDescCoef_81,자폭 피해량,"sum,4+5,emp","SkillDescCoef_81,SkillDescCoef_5",자폭 피해량 (마력 비례),"ap,3.0/3.0/3.5,ap","SkillDescCoef_81,SkillDescCoef_10",자폭 피해량 (최대 체력 비례),"hp,0.18/0.3/0.5,hp",,,,,,
