Key,Source,type,ko,en,es,zh-cn,zh-tw
dialog_1105,바나나 좋아하는구나? 바나나 줄 테니까 말해 봐.,,바나나 좋아하는구나? 바나나 줄 테니까 말해 봐.,So you like bananas? I'll give you one if you fess up.,¿Así que te gustan las bananas? Te daré una banana si me lo dices.,你喜欢香蕉啊？那我给你香蕉，你说说看。,你喜歡香蕉啊？那我給你香蕉，你回答看看。
dialog_1106,소울 블렌더 말이냐숭숭? 온천 주인장이 그걸 훔쳐오면 바나나를 준다고 했숭숭.,,소울 블렌더 말이냐숭숭? 온천 주인장이 그걸 훔쳐오면 바나나를 준다고 했숭숭.,"Oh, the Soul Blender, hoo hoo? The hot spring owner promised me bananas if I stole it.","¿El combinador álmico? Ju, ju. El dueño de las aguas termales prometió darme bananas si lo robaba, ju, ju.",灵魂混合机吗，吼吼？温泉的老板让我把它偷过来就给我香蕉，吼吼。,靈魂混合機嗎，吼吼？溫泉老闆說我把它偷過來就會給我香蕉，吼吼。
dialog_1107,훔쳤다고?! 주인장이 누군데!,,훔쳤다고?! 주인장이 누군데!,Stole it?! Who's the owner?!,¡¿Robarlo?! ¡¿Quién es el dueño?!,你偷的？谁是老板！,偷過來？那老闆是誰！
dialog_1108,아주 뚱뚱한 고양이 모습을 하고 있숭숭.,,아주 뚱뚱한 고양이 모습을 하고 있숭숭.,"Not sure. They looked like a real fat cat, hoo hoo.","No estoy seguro. El dueño parecía un gato muy gordo, ju, ju.",是一个胖乎乎的猫咪模样的老板，吼吼。,是有著胖嘟嘟貓咪模樣的傢伙，吼吼。
dialog_1109,훔쳐서 무슨 짓을 한 거야?,,훔쳐서 무슨 짓을 한 거야?,What did you do with it after you stole it?,¿Qué hiciste con él luego de robarlo?,那偷过来用它做什么了？,那你把它偷過來做了什麼？
dialog_1110,난 그냥 주인장한테 바나나를 받아서 먹고 있었숭숭.,,난 그냥 주인장한테 바나나를 받아서 먹고 있었숭숭.,"Hey, I just got my bananas and started eating.",Solo obtuve mis bananas y comencé a comer.,我只是从老板那接过香蕉吃了而已，吼吼。,我只是從老闆那邊拿過香蕉準備吃掉而已，吼吼。
dialog_1111,그런데 주인장이 다시 왔숭숭. 소울 블렌더를 들키지 않고 원래 위치에 되돌려 놓으면 바나나를 또 준다고 했숭숭.,,그런데 주인장이 다시 왔숭숭. 소울 블렌더를 들키지 않고 원래 위치에 되돌려 놓으면 바나나를 또 준다고 했숭숭.,"Later, the owner came back. Told me to put the Soul Blender back where I found it for more bananas, hoo hoo.","Después, el dueño volvió. Me dijo que devolviera disimuladamente el combinador álmico y que me daría más bananas, ju, ju.",但后来老板又找我来了，吼吼。说如果我把灵魂混合机偷偷放回原位，还会给我香蕉，吼吼。,但後來老闆又來找我，吼吼。他跟我說如果我把靈魂混合機偷偷放回原位，還會再給我香蕉，吼吼。
dialog_1112,그래서 훌륭하게 임무 완수하고 돌아왔숭숭.,,그래서 훌륭하게 임무 완수하고 돌아왔숭숭.,"So I did that, too, hoo hoo.","Y eso fue lo que hice, ju, ju.",所以我又出色地完成任务回来了，吼吼。,所以我又出色地完成任務回來了，吼吼。
dialog_1113,다 말해줬으니 바나나 줘라숭숭.,,다 말해줬으니 바나나 줘라숭숭.,"And now I've told you everything, so give me my banana.","Te lo conté todo, así que dame mi banana, ju, ju.",我都跟你说了，给我香蕉吼吼。,我都跟你說了，快給我香蕉，吼吼。
dialog_1114,"아하, 잘 들었어.",,"아하, 잘 들었어.","Yeah, about that...","Sí, bueno...",啊哈，明白了。,啊哈，我知道了。
dialog_1115,근데 나쁜 짓 한 원숭이한테 줄 바나나는 없어.,,근데 나쁜 짓 한 원숭이한테 줄 바나나는 없어.,"I don't have any bananas to give to nasty, thieving monkeys!",¡No le daré bananas a un mono malo y ladrón como tú!,对于做坏事的猴子，我可不能给香蕉。,對於做壞事的猴子，可是不能給香蕉的。
dialog_1116,그런 게 어디 있냐숭숭!!!! 바나나 줘라숭숭!!!!!,,그런 게 어디 있냐숭숭!!!! 바나나 줘라숭숭!!!!!,That's not fair! We had a deal!,¡No es justo! ¡Teníamos un trato!,太不像话，吼吼！给我香蕉，吼吼！！！,怎麼可以這樣，吼吼！給我香蕉，吼吼！！！
dialog_1117,"어우, 시끄러!",,"어우, 시끄러!","Oh, hush!",¡Silencio!,啊，好吵！,啊，好吵！
dialog_1118,아무튼 이 사건의 진짜 범인은 이 온천의 주인장인 것 같네!,,아무튼 이 사건의 진짜 범인은 이 온천의 주인장인 것 같네!,"In any case, it seems like the real culprit is the owner of the hot spring!","Sea como sea, ¡el verdadero culpable parece ser el dueño de las aguas termales!",总之，这件事的真正犯人，就是这座温泉的老板！,總之，這件事的真正犯人，就是這座溫泉的老闆！
dialog_1119,♥탐정이 된 기분이야♥,,♥탐정이 된 기분이야♥,I feel like a real detective!,¡Me siento como un detective de verdad!,♥感觉变成了侦探♥,♥感覺變成了偵探♥
dialog_1120,온천 주인장한테 왜 이런 짓을 벌인 건지 물어보러 가자.,,온천 주인장한테 왜 이런 짓을 벌인 건지 물어보러 가자.,Let's go ask the hot spring owner why they did this.,Le preguntaremos al dueño de las aguas termales por qué lo hizo.,去找温泉老板问问有什么企图吧。,前去找溫泉老闆問看看他有什麼企圖吧。
dialog_1121,돈은 내고 목욕하는 것이옹?,,돈은 내고 목욕하는 것이옹?,"Have you paid for your bath, meow?","¿Ya pagaste por el baño, miau?",你是付钱洗浴的喵？,你是要付錢洗澡的喵？
dialog_1122,돈?! 어디서 도둑질하는 주제에 돈타령이야!,,돈?! 어디서 도둑질하는 주제에 돈타령이야!,You want money now? A thief like you?!,¡¿Cómo es que un ladrón como tú pide dinero?!,钱？偷东西还担心别人没付钱！,錢？！你這種偷別人東西還擔心別人沒付錢的傢伙！
dialog_1123,원숭이한테 소울 블렌더 훔치라는 명령은 왜 한 거야?!,,원숭이한테 소울 블렌더 훔치라는 명령은 왜 한 거야?!,Why did you send the monkey to steal the Soul Blender?,¡¿Por qué mandaste al mono a robar el combinador álmico?!,你命令猴子去偷灵魂混合机有什么企图？,你叫猴子去偷靈魂混合機有什麼企圖？
dialog_1124,당연한 걸 왜 묻냐옹? 고양이는 영역 동물이라 다른 데로 안 나가니까 시켰다옹.,,당연한 걸 왜 묻냐옹? 고양이는 영역 동물이라 다른 데로 안 나가니까 시켰다옹.,"Why ask such an obvious question, meow? I asked the monkey because cats are territorial, and I don't leave my territory.","¿Por qué haces una pregunta tan obvia, miau? Se lo pedí al mono porque los gatos son territoriales, y yo no me alejo de mi territorio.",为什么问我这么想当然的问题喵？猫猫是领域性动物，不会出门，所以叫猴子干的喵。,為什麼問我這麼理所當然的問題喵？因為貓咪是領域性動物不會出門，所以才叫猴子去的喵。
dialog_1125,"아니, 왜 원숭이한테 명령한 건지를 묻는 게 아니잖아! 왜 훔친 거냐고!!",,"아니, 왜 원숭이한테 명령한 건지를 묻는 게 아니잖아! 왜 훔친 거냐고!!","No, I'm asking why you wanted it in the first place!","No, ¡pregunto por qué quieres robarlo!",不是，我没有问你为什么叫猴子偷的好吗！我问你为什么偷窃！,不是，我又沒問你為什麼叫猴子去偷！我是問你為什麼要偷！！
dialog_1126,진작 그렇게 질문하시지옹!,,진작 그렇게 질문하시지옹!,"Oh. You should have said so, meow!","Oh, ¡deberías haberlo dicho desde el principio, miau!",你早说不就行了喵！,你直接這樣講不就好了喵！
dialog_1127,어떤 손님이 그렇게 하면 돈을 준다고 했으니까다옹!,,어떤 손님이 그렇게 하면 돈을 준다고 했으니까다옹!,"It was because a customer told me they'd pay me if I did, meow!","Fue porque un cliente me dijo que me pagaría si lo hacía, miau.",有位客人说偷来的话就给我钱喵！,有位客人說如果我偷來的話就給我錢喵！
dialog_1128,돈이 최고다옹.,,돈이 최고다옹.,"I have no interest in souls, meow. Only money.","No me interesan las almas, miau. Solo el dinero.",钱是万能的喵。,錢是萬能的喵。
dialog_1129,"원숭이는 바나나를, 고양이는 돈을 원해서 시키는 대로 했을 뿐이네.",,"원숭이는 바나나를, 고양이는 돈을 원해서 시키는 대로 했을 뿐이네.","So the monkey did it for bananas, and the cat did it for money.",Conque el mono lo hizo por bananas y el gato por dinero.,猴子想要香蕉，猫猫想要钱，所以只是奉命行事的。,猴子想要香蕉，貓咪想要錢，所以是奉命行事。
dialog_1130,"저렇게나 물욕이 넘쳐서야, 쯧.",,"저렇게나 물욕이 넘쳐서야, 쯧.",Greed really is the root of all evil.,La codicia es la raíz de todos los males.,你也太贪了吧，啧啧。,你也太貪心了吧，嘖。
dialog_1131,돈 준다고 그런 일을 덥석 수락하면 어떡해...,,돈 준다고 그런 일을 덥석 수락하면 어떡해...,You can't excuse everything for the sake of money...,No puedes hacer cualquier cosa solo porque te darán dinero...,即便给钱也怎么能随意接受那种事……,就算是給錢有不能隨便接受那種事情吧……
dialog_1132,돈이 최고다옹!!,,돈이 최고다옹!!,Why not? I can just pay for forgiveness!,¿Por qué no? Puedo pagar para que me perdonen.,钱是万能的喵！,錢是萬能的喵！
dialog_1133,그 손님 인상착의는 기억해?,,그 손님 인상착의는 기억해?,Sigh... Do you remember what that customer looked like?,¿Recuerdas qué aspecto tenía ese cliente?,你还记得那位客人的衣着和长相吗？,你還記得那位客人的印象嗎？
dialog_1134,제대로 안 봤다옹!,,제대로 안 봤다옹!,"Didn't really take a good look, meow!","No me fijé bien, ¡miau!",我没看清喵！,我沒看清喵！
dialog_1135,자랑이네. 조금이라도 기억나는 거 없어?,,자랑이네. 조금이라도 기억나는 거 없어?,Are you for real? You can't remember anything?,¿Es en serio? ¿No recuerdas nada?,这么理所当然？就没有一点记性？,一點記憶力都沒有，還很驕傲呢？
dialog_1136,음... 덩치가 크고 초록색이었다옹!,,음... 덩치가 크고 초록색이었다옹!,"Hmm... Kind of big and green, I suppose!","Mmm... Un poco grande y verde, supongo.",唔……块头大，而且是绿色喵！,嗯…就體格大，而且是綠色的喵！
dialog_1137,알겠어. 일단 비슷한 손님이 있나 둘러보자.,,알겠어. 일단 비슷한 손님이 있나 둘러보자.,"Okay, that's a start. Big and green.","Bueno, es un comienzo. Grande y verde.",好吧。先找找有没有符合特征的客人吧。,知道了。就先找找有沒有符合特徵的客人吧。
dialog_1138,이쪽 저쪽 다 둘러봤는데 덩치 큰 초록색의 누군가는 안 보여.,,이쪽 저쪽 다 둘러봤는데 덩치 큰 초록색의 누군가는 안 보여.,"I've looked everywhere, and there's no one that's big and green.",Busqué por todas partes y no vi a nadie grande y verde.,看了一下附近，怎么看不到绿色的大块头。,查看了附近，沒有看到綠色大體格的傢伙。
dialog_1139,이미 지나간 건 아닐까?,,이미 지나간 건 아닐까?,Maybe they already left?,¿Se habrá ido?,不会是错过了吧？,該不會是錯過了吧？
dialog_1140,그런 것 같아...,,그런 것 같아...,Must be...,Quizá sea...,好像是……,好像是這樣……
dialog_1141,이대로 있을 수는 없지!,,이대로 있을 수는 없지!,"Well, we can't just give up!",¡No podemos darnos por vencidos!,不能就这么呆着！,可不能就這樣待在原地！
dialog_1142,온천의 다른 손님들한테 덩치 큰 초록색 손님을 본 적 있는지 물어보자.,,온천의 다른 손님들한테 덩치 큰 초록색 손님을 본 적 있는지 물어보자.,Let's ask the other guests at the hot spring if they've seen anyone that's big and green.,Preguntemos a los demás huéspedes si han visto a alguien grande y verde.,去找温泉的其他客人，问有没有看到绿色大块头的客人吧。,去找溫泉的其他客人，問看看有沒有看到綠色大塊頭的客人吧。
dialog_1143,탕 안에 원숭이들이 한가득이었어. 보는 눈이 많아서 다행이다!,,탕 안에 원숭이들이 한가득이었어. 보는 눈이 많아서 다행이다!,The bath was full of monkeys. It's a good thing there were so many eyes!,El baño estaba lleno de monos. ¡Menos mal que había tantos ojos!,温泉池里全是猴子，幸好周围看的人多！,溫泉池裡面全是猴子，幸好看的人也不算少！
dialog_1144,원숭이들이 초록색이라면 저쪽 탕에서 개구리를 많이 봤다고 했어!,,원숭이들이 초록색이라면 저쪽 탕에서 개구리를 많이 봤다고 했어!,The monkeys said there were lots of green frogs at the bath over there!,Los monos dijeron que había muchas ranas verdes en el baño.,猴子说绿色的话，在那边的池子里他们看到有很多青蛙！,猴子說綠色的話，在那邊的池子裡有看到很多青蛙！
dialog_1145,초록색 발견~♥,,초록색 발견~♥,Green discovered! Yay!,¡Encontramos alguien verde! ¡Sí!,发现绿色♥,發現綠色~♥
dialog_1146,개구리...?,,개구리...?,Frogs...?,¿Ranas?,青蛙？,青蛙…？
dialog_1147,아무튼 초록색이라니까 용의자야!,,아무튼 초록색이라니까 용의자야!,Anyone green is a suspect!,¡Cualquiera que sea verde es sospechoso!,反正是绿色，是嫌疑犯！,反正是綠色就是嫌疑犯！
dialog_1148,"범인 냄새가 난다, 킁킁. 당장 검거하러 가자!",,"범인 냄새가 난다, 킁킁. 당장 검거하러 가자!","I can smell the culprit, sniff sniff. Let's go catch them right now!","Puedo oler al culpable, snif, snif. ¡Lo atrapemos ahora!",闻闻，有犯人的味道。马上去逮捕吧！,嗅嗅，有犯人的味道。立即去逮捕吧！
dialog_1149,깨굴...! 얌전히 목욕하고 있는데 왜 방해야!! 깨굴굴!!!!,,깨굴...! 얌전히 목욕하고 있는데 왜 방해야!! 깨굴굴!!!!,"Ribbit! I'm just minding my own business, enjoying my bath. So why are you disturbing me?!","¡Croac! Estoy disfrutando de mi baño en paz, ¡¿por qué me molestas?!",呱！我正乖乖地洗澡呢，干嘛要妨碍我！呱呱！！！,呱…！我好好的在洗澡，為什麼要妨礙我！呱呱！！！！
dialog_1150,초록색이긴 한데... 몸집이 엄청 작네...?,,초록색이긴 한데... 몸집이 엄청 작네...?,"This frog is indeed green, but...rather small.","La rana sí es verde, pero... bastante pequeña.",青蛙是绿色的……但块头也太小了吧？,青蛙是綠色的……但體型那麼小？
dialog_1151,범인이 아닌 것 같아...,,범인이 아닌 것 같아...,Don't think we have our culprit...,No creo que tengamos al culpable...,好像不是犯人……,應該不是犯人……
dialog_1152,허탕쳤구나.,,허탕쳤구나.,That was a waste of time.,Qué pérdida de tiempo.,白跑了一趟。,白跑了呢。
dialog_1153,"사과해, 깨굴!!",,"사과해, 깨굴!!",Apologize! Ribbit!,¡Discúlpate! ¡Croac!,给我道歉，呱呱！,給我道歉，呱呱！
dialog_1154,"헉, 미안해. 헷갈렸어.",,"헉, 미안해. 헷갈렸어.","Ugh, I'm sorry. I thought you were someone else.","Uf, lo siento. Pensé que eras alguien más.",对不起，我搞错了。,對不起，我搞錯了。
dialog_1155,그럼 혹시 너 말고 덩치 큰 초록색의 누군가를 본 적 없어?,,그럼 혹시 너 말고 덩치 큰 초록색의 누군가를 본 적 없어?,"On that note, did you happen to see anyone else here who is big and green?","Entonces, ¿has visto a alguien más que sea grande y verde?",那除了你，就没有看到过绿色的大块头吗？,那除了你以外，你有看過綠色的大塊頭嗎？
dialog_1156,"저 앞에 덩치 큰 초록색 슬라임이 있었다, 깨굴.",,"저 앞에 덩치 큰 초록색 슬라임이 있었다, 깨굴.","There's a big green slime over there, ribbit.","Hay una gran baba verde por allí, croac.",那边有大块头的绿水灵，呱。,那邊有隻體型很巨大的綠水靈，呱。
dialog_1157,엉뚱한 개구리한테 이러지 말고 그 슬라임한테나 가!! 깨굴!!!,,엉뚱한 개구리한테 이러지 말고 그 슬라임한테나 가!! 깨굴!!!,"Now go, and quit bothering me, ribbit!","¡Ahora dejen de molestarme, croac!",别缠着我们青蛙，快去找绿水灵！呱呱！,不要纏著我們青蛙，去找綠水靈吧！！呱呱！！！
dialog_1158,"오호, 고마워! 방해해서 미안해!",,"오호, 고마워! 방해해서 미안해!","Oh, thank you! Terribly sorry for disturbing you!","¡Ah, gracias! ¡Perdón por molestarte!",噢，谢谢！妨碍你们休息了，抱歉！,喔吼，謝謝！妨礙你們休息，真是抱歉！
dialog_1159,엄청나게 큰 초록색 슬라임? 이번엔 진짜 무조건 범인일 거야!,,엄청나게 큰 초록색 슬라임? 이번엔 진짜 무조건 범인일 거야!,A big green slime? That MUST be the culprit!,¿Una baba grande y verde? ¡Ella debe ser el culpable!,非常大块头的绿水灵？这次肯定是犯人！,非常大隻的綠水靈？這次一定是犯人！
dialog_1160,덩치 큰 초록색 발견~♥,,덩치 큰 초록색 발견~♥,Big green discovered!,¡El gran verde fue descubierto!,发现绿色大块头♥,發現綠色大塊頭~♥
dialog_1161,내 생각에도 이번엔 진짜인 것 같아! 얼른 잡아보자고~,,내 생각에도 이번엔 진짜인 것 같아! 얼른 잡아보자고~,I've got the right one this time. I'm sure of it!,Creo que ahora sí es el correcto. ¡Estoy seguro!,我也觉得这次肯定是犯人！快去抓它～,我也覺得這次肯定是犯人！快去抓牠吧～
dialog_1162,"뿌앵! 그만 때려, 그만!!",,"뿌앵! 그만 때려, 그만!!",Stop it! Stop hitting me!,¡Detente! ¡Deja de golpearme!,哇！别打了，停下！,嗚嗚！不要再打了，快點停下來！
dialog_1163,소울 블렌더 네가 훔쳐달라고 시켰지!?,,소울 블렌더 네가 훔쳐달라고 시켰지!?,"You're the one behind the Soul Blender theft, right?!",Tú estás tras el robo del combinador álmico ¡¿cierto?!,是你指使别人去偷灵魂混合机的吧！,是你指使別人去偷靈魂混合機的吧！
dialog_1164,"맞아, 내가 시켰어! 다 말할 테니까 그만 때려~!! 꾸엥!",,"맞아, 내가 시켰어! 다 말할 테니까 그만 때려~!! 꾸엥!","Yes, it was me! I'll tell you everything, just stop hitting me!","¡Sí, fui yo! ¡Te lo diré todo, pero ya deja de pegarme!",没错，是我指使的！我都说，别再打了！呜呜！,沒錯，是我指使的！不要打了，我什麼都跟你說~！！嗚嗚！
dialog_1165,"은밀하게 훔치는 건 고양이가 잘할 것 같았는데, 마침 들른 이 온천의 주인이 고양이더라구~!",,"은밀하게 훔치는 건 고양이가 잘할 것 같았는데, 마침 들른 이 온천의 주인이 고양이더라구~!","I thought a cat would be good at secretly stealing something, and the owner of this hot spring just happened to be a cat!",¡Pensé que un gato sería bueno para robar algo sigilosamente y resultó que el dueño de estas aguas termales es un gato!,我觉得，人不知鬼不觉地偷窃东西猫猫很在行，正好发现这里的温泉老板是猫猫！,我覺得不知不覺地竊取東西的事情貓貓很在行，剛好發現這裡的溫泉老闆是貓咪！
dialog_1166,그래서 돈을 주고 의뢰를 해봤어! 내가 직접 하기엔 너무 눈에 띄잖아?,,그래서 돈을 주고 의뢰를 해봤어! 내가 직접 하기엔 너무 눈에 띄잖아?,"So I paid for the owner to do it! I'm a little too conspicuous myself, don't you think?","¡Así que le di dinero para que lo hiciera! Creo que sería un evidente si yo lo hiciera, ¿no crees?",所以才付钱委托了老板！因为我亲自去偷的话未免太显眼了吧？,所以才付錢委託給他！因為如果是我親自去偷的話，也過於顯眼了吧？
dialog_1167,"뭐, 그럴 덩치긴 하네.",,"뭐, 그럴 덩치긴 하네.","True, you are pretty noticeable.","Sí, creo que sería bastante evidente.",也是，是挺显眼的块头。,也是啦，是蠻顯眼的體型。
dialog_1168,"아니, 그게 문제가 아니고...! 왜 그런 의뢰를 한 거야?",,"아니, 그게 문제가 아니고...! 왜 그런 의뢰를 한 거야?","Hold on, that's not the issue here... Why did you want the Soul Blender at all?","Espera, pero ese no es el problema... ¿Para qué quieres el combinador álmico?",不是，那个不是重点！你为什么要委托偷窃？,不對，那個不是重點！你到底為什麼要委託偷竊？
dialog_1169,소울 블렌더는 어떻게 알고 훔쳐 간 거야?!,,소울 블렌더는 어떻게 알고 훔쳐 간 거야?!,"I mean, how did you even know about the Soul Blender in the first place?!","Para empezar, ¿¡cómo sabías sobre el combinador álmico!?",你是怎么知道的灵魂混合机才偷走的？,你是怎麼知道的靈魂混合機還偷走它的？
dialog_1170,신전에 가기 전 엄청 추운 곳에 모자 쓴 슬라임들이 많지 않았어? 걔네한테 들었지!,,신전에 가기 전 엄청 추운 곳에 모자 쓴 슬라임들이 많지 않았어? 걔네한테 들었지!,Didn't you see all the hat-wearing slimes around the temple? I heard about it from them!,¿Viste a las babas con sombrero cerca del templo? ¡He escuchado sobre ellas!,去神殿前，在一个非常寒冷的地方不是有很多戴帽子的绿水灵吗？我听它们说的！,在去神殿之前，在非常寒冷的地方有許多戴帽子的綠水靈吧？我是聽它們說的！
dialog_1171,네가 신전을 와장창 와르르 콰광 해준 덕에 신전에 납치된 슬라임들이 무사히 탈출했대!,,네가 신전을 와장창 와르르 콰광 해준 덕에 신전에 납치된 슬라임들이 무사히 탈출했대!,"Thanks to your big breakout, the slimes imprisoned in the temple were able to escape!","¡Gracias a tu gran huida, las babas aprisionadas en el templo lograron escapar a salvo!",多亏你在神殿大闹一场，被绑架到神殿的绿水灵都顺利逃出来了！,多虧你在神殿大鬧一場，被綁架到神殿的綠水靈都順利逃出來了！
dialog_1172,그리고 무사히 돌아온 슬라임들이 소울 블렌더에 대한 얘기를 전해줬지~~!,,그리고 무사히 돌아온 슬라임들이 소울 블렌더에 대한 얘기를 전해줬지~~!,Those slimes told me about the Soul Blender!,¡Esas babas me dijeron sobre el combinador álmico!,安全返回的绿水灵们跟我讲了有关灵魂混合机的事情！,安全返回的綠水靈們跟我說了有關靈魂混合機的事情~~！
dialog_1173,어떤 얘기?,,어떤 얘기?,What did they tell you?,¿Qué te dijeron?,什么事情？,是什麼事情？
dialog_1174,소울 블렌더가 이미 죽은 누군가를 무기로 다시 태어나게 해준다며!,,소울 블렌더가 이미 죽은 누군가를 무기로 다시 태어나게 해준다며!,They said the Soul Blender can bring someone who has already died back to life as a weapon!,¡Me dijeron que el combinador álmico puede traer de vuelta a alguien que ya murió en forma de arma!,灵魂混合机不是可以让死去的人重新诞生吗！,靈魂混合機不是可以讓死掉的人重新誕生嗎！
dialog_1175,이거라면 모험가들에게 죽어나간 우리 슬라임들을 되살릴 수 있을 것 같았어...!,,이거라면 모험가들에게 죽어나간 우리 슬라임들을 되살릴 수 있을 것 같았어...!,I thought that I could use it to revive all the slimes that have been defeated by explorers...,¡Pensé que podría revivir a todas las babas que han sido matadas por los exploradores...!,要是这样，就可以让那些被冒险家们杀掉的绿水灵复活了！,如果是這樣的話，就可以讓那些被冒險家們殺掉的綠水靈復活了！
dialog_1176,그래서 소울 블렌더를 슬쩍해서 슬라임들을 빨리 되살리고 안 들키게 다시 돌려놓으려고 했단 말이지~!,,그래서 소울 블렌더를 슬쩍해서 슬라임들을 빨리 되살리고 안 들키게 다시 돌려놓으려고 했단 말이지~!,"So I planned to sneak the Soul Blender, quickly revive the slimes, and then return it before anyone found out!","¡Así que planeaba usar el combinador álmico a escondidas, revivir rápido a las babas y luego regresarlo antes de que alguien me descubriera!",所以才打算偷走灵魂混合机，复活绿水灵后，再偷偷放回去！,所以你才打算偷走靈魂混合機之後，讓綠水靈復活，再偷偷放回去！
dialog_1177,소울 블렌더로 슬라임들을 되살려...? 안될 것 같은데.,,소울 블렌더로 슬라임들을 되살려...? 안될 것 같은데.,Revive the slimes using the Soul Blender...? I didn't think that would work.,¿Revivir a las babas con el combinador álmico? No creo que vaya a funcionar.,用灵魂混合机复活绿水灵？感觉行不通啊。,用靈魂混合機復活綠水靈？感覺好像不行呢。
dialog_1178,"응, 안 되더라! 왜 그러는 걸까? 힝...",,"응, 안 되더라! 왜 그러는 걸까? 힝...","Yeah, it didn't work. I wonder why...","Sí, no funcionó. ¿Por qué será...?",嗯，还真不行！但为什么呢？哎……,嗯，還真的不行！但到底為什麼呢？嗚…
dialog_1179,슬라임들의 방울을 넣어도 작동을 안 하길래 고장 난 건가 싶어서 이것저것 넣어봤어!,,슬라임들의 방울을 넣어도 작동을 안 하길래 고장 난 건가 싶어서 이것저것 넣어봤어!,"Placing slime bubbles in it didn't do anything, so I tried putting all kinds of other stuff!","¡Le puse burbujas baba encima y no pasó nada, así que intenté ponerle un montón de otras cosas!",我放入几滴绿水灵后它都没有动静，还以为是坏掉了，所以放了各种东西！,我放入幾滴綠水靈後，它都沒有動靜，還以為是故障，所以還放了各種東西！
dialog_1180,"그러다가 갑자기 터져버리길래 당황스러워서 일단 다시 제자리에 돌려놓긴 했어, 잘했지?!",,"그러다가 갑자기 터져버리길래 당황스러워서 일단 다시 제자리에 돌려놓긴 했어, 잘했지?!","And then all of a sudden, it exploded! So I panicked and had it put back. I did the right thing, right?!","Y entonces explotó de la nada, así que entré en pánico y lo volví a poner en su lugar. ¡¿Hice lo correcto, verdad?!",之后突然炸掉了，让我有点惊慌失措，所以先放回去了，我干得好吧？,這樣做了之後就爆炸了，讓我很驚慌失措，所以就先放回去了，我做得不錯吧？
dialog_1181,잘했냐니!!!! 그 폭발 때문에 온천에 난리가 났는데!,,잘했냐니!!!! 그 폭발 때문에 온천에 난리가 났는데!,The right thing?! That explosion caused havoc at the hot spring!,¡¿Lo correcto?! ¡Esa explosión causó todo un desastre en las aguas termales!,能干得好吗！！！因为那次爆炸，整个温泉都乱套了！,什麼不錯嗎！！！！因為那個爆炸，整個溫泉都亂七八糟了！
dialog_1182,소울 블렌더는 몬스터가 아니라 모험가의 영혼을 무기에 넣는 도구야.,,소울 블렌더는 몬스터가 아니라 모험가의 영혼을 무기에 넣는 도구야.,The Soul Blender is a tool that imbues weapons with the souls of explorers.,El combinador álmico es una herramienta que imbuye el alma de los exploradores en armas.,灵魂混合机是把冒险家灵魂注入到武器的工具，而不是怪物。,靈魂混合機不是怪物而是要把冒險家靈魂注入到武器的工具，
dialog_1183,당연히 슬라임한테는 작동할 리가 없지.,,당연히 슬라임한테는 작동할 리가 없지.,Of course it's not going to work for slimes.,Es obvio que no funcionaría en babas.,所以当然不会对绿水灵起作用。,當然不會對綠水靈有作用。
dialog_1184,헉! 그런 비밀이!!,,헉! 그런 비밀이!!,Ugh! So that was its secret!,¡Ay! ¡Entonces ese era el secreto!,哇！原来是这样！,咳！竟然是這樣的秘密！
dialog_1185,"어휴, 골치 아프네. 일단 어쩌다 온천에 이런 일이 생겼는지는 잘 알겠군.",,"어휴, 골치 아프네. 일단 어쩌다 온천에 이런 일이 생겼는지는 잘 알겠군.","Sheesh, what a headache. Well, at least now I know what happened at the hot spring.","Aaaay, qué dolor de cabeza. Pero al menos ahora ya sé qué pasó en las aguas termales.",哎，真头疼。总之，算是搞明白温泉里为什么发生这种事了。,哎，真是頭痛。總之，總是搞清楚溫泉裡面為什麼發生這種事了。
dialog_1186,훔쳐 간 의도가 나쁜 건 아니어서 봐주는 줄 알아!,,훔쳐 간 의도가 나쁜 건 아니어서 봐주는 줄 알아!,Just know that I'm letting you off easy because your intentions were pure!,¡Solo quiero que sepas que te dejaré ir porque tus intenciones no eran malas!,这次放过你，算是你偷走的意图并不坏！,這次放你一馬，畢竟你偷走的意圖並不是用來做壞事！
dialog_1187,뀨잉...,,뀨잉...,Kyuu-ing...,"Bua, buaaa...",呜……,嗚…
dialog_1188,사고는 쟤가 치고 수습은 네가 하게 생겼네.,,사고는 쟤가 치고 수습은 네가 하게 생겼네.,Now I'm gonna be the one that cleans up the mess.,Parece que seré yo quien limpie este desastre.,绿水灵闯的祸，现在由我来收拾残局了。,綠水靈闖的禍，現在變成我來收拾了。
dialog_1189,이제 이 정도는 일상이지...,,이제 이 정도는 일상이지...,Not like that's anything unusual...,Esta ya es mi rutina diaria...,感觉这都变成日常工作了……,現在都感覺這種事情變成日常了……
dialog_1190,일단 상황은 정리된 것 같으니 스미티아에게 알려주자.,,일단 상황은 정리된 것 같으니 스미티아에게 알려주자.,"The situation seems to be under control, so I'd better let Smithia know what happened.","La situación está bajo control, así que es hora de informarle a Smitia.",至少这边已经整理好了，就去告诉史米迪亚吧。,至少這邊已經整理好了，先去告訴史米迪亞吧。
