Key,Source,Note,ko,en,es,zh-cn,zh-tw
IngameRules_Shield_002,"<color=""#ffd400"">보호막</color>은 유닛에게 부여되며, 공격당할 때 체력 대신 소모되는 수치입니다. 일시적으로 부여되는 체력이라고 생각하면 편합니다.\n보호막은 최대 체력과 상관없이 부여될 수 있습니다.\n\n만약 체력을 소모하는 스킬 효과나, 룬 카드 효과 등에 <color=""#ffd400"">체력을 소모</color>하는 효과가 있다면, 보호막이 있어도 체력이 소모됩니다.",Default Text,"<color=""#ffd400"">보호막</color>은 유닛에게 부여되며, 공격당할 때 체력 대신 소모되는 수치입니다. 일시적으로 부여되는 체력이라고 생각하면 편합니다.\n보호막은 최대 체력과 상관없이 부여될 수 있습니다.\n\n만약 체력을 소모하는 스킬 효과나, 룬 카드 효과 등에 <color=""#ffd400"">체력을 소모</color>하는 효과가 있다면, 보호막이 있어도 체력이 소모됩니다.","<color=""#ffd400"">Barriers</color> applied to units take incoming damage instead of the unit's HP being depleted. They're similar to having temporary HP on top of normal HP.\nBarriers can be applied regardless of Max HP.\n\nIf there are skill effects or Rune Cards that <color=""#ffd400"">consume HP</color>, they will still consume HP even if you have a Barrier.","Las <color=""#ffd400"">barreras</color> aplicadas a las unidades reciben el daño entrante en lugar de agotar los PV de la unidad. Son similares a tener PV temporales además de los PV normales.\nLas barreras se pueden aplicar en lugar de los PV máx.\n\nSi hay efectos de habilidad o cartas de runas que <color=""#ffd400"">consuman PV</color>, consumirán PV aunque tengas una barrera.","<color=""#ffd400"">屏障</color>是赋予给单位的数值，在受到攻击时代替血量优先被消耗。可以将其理解为一种临时赋予的血量。\n屏障的赋予与最大血量无关。\n\n如果技能效果或符文卡牌效果等具有<color=""#ffd400"">消耗血量</color>的效果，那么即使单位拥有屏障，也会消耗血量。","賦予英雄<color=""#ffd400"">護盾</color>，被攻擊時就會消耗護盾而非消耗體力。想成是暫時賦予的體力就比較簡單了。\n無論最大體力為何，都可以賦予護盾。\n\n當體力被消耗殆盡或技能效果、符文卡效果等具有<color=""#ffd400"">消耗體力</color>的效果，即使持有護盾也會消耗體力。"
Tip1005,<color=#62D5FE>이미 갖고 있는 룬 카드</color>는 상점에서 등장하지 않습니다.,Default Text,<color=#62D5FE>이미 갖고 있는 룬 카드</color>는 상점에서 등장하지 않습니다.,<color=#62D5FE>Rune Cards already in your possession</color> do not appear in the shop.,<color=#62D5FE>Las tarjetas de runa que ya poseas</color> no aparecen en la tienda.,<color=#62D5FE>已持有的符文卡牌</color>不会出现在商店中。,<color=#62D5FE>已經持有的符文卡不會在</color>商店中登場。
IngameRules_RuneCardShop_001,룬 카드를 구매할 수 있는 상점입니다.,Default Text,룬 카드를 구매할 수 있는 상점입니다.,A shop for purchasing Rune Cards.,Una tienda para comprar cartas de runas.,这里是可以购买符文卡牌的商店。,可以購買符文卡的商店。
OutgameRules_Achievement_002,"업적은 메이플 올스타 리그를 진행하다보면 달성할 수 있는 일종의 기록입니다.\n특정 캐릭터나 시너지를 많이 쓰거나, 랭크 모드에서 특정 랭킹을 달성하는 등, 리그를 플레이하다보면 자연스럽게 달성하게 됩니다!",Default Text,"업적은 메이플 올스타 리그를 진행하다보면 달성할 수 있는 일종의 기록입니다.\n특정 캐릭터나 시너지를 많이 쓰거나, 랭크 모드에서 특정 랭킹을 달성하는 등, 리그를 플레이하다보면 자연스럽게 달성하게 됩니다!",Achievements are fun goals you can meet as you play Maple All-Star League.\nYou can complete a lot of them simply by playing with a specific character or Synergy or by achieving a specific rank in Ranked Mode!,Los logros son metas divertidas que puedes superar a medida que juegas a la liga de superestrellas Maple.\n¡Puedes completar muchos simplemente jugando con un personaje o sinergia específicos o alcanzando un rango específico en el modo clasificatorio!,成就是在进行冒险岛全明星联赛的过程中可以达成的一种记录。\n例如，大量使用特定角色或协同效果，或是在排位模式中达成特定排名等。在联赛中通关时自然会达成！,成就是進行楓之谷全明星競賽時可達成的一種紀錄。\n有可能是使用特定角色或連鎖效果很多次，或於排名模式達到特定排名等，遊玩賽事即會自然達成！
CT10008Explain,활성화된 시너지 개수 (고유 시너지 제외),Default Text,활성화된 시너지 개수 (고유 시너지 제외),"Activated Synergies, excluding unique Synergies.","Sinergias activadas, no incluye sinergias únicas.",已激活的协同效果数量（专属协同效果除外）,啟用的連鎖效果個數(除固有連鎖效果外)
RuneCard_RC20021_Desc,캐릭터를 2성이나 3성으로 만들 때마다 <color=#00e58a>해당 캐릭터의 판매 가치</color>만큼 코인을 얻습니다. (라운드 당 1회 제한),Default Text,캐릭터를 2성이나 3성으로 만들 때마다 <color=#00e58a>해당 캐릭터의 판매 가치</color>만큼 코인을 얻습니다. (라운드 당 1회 제한),"After making a 2- or 3-star character, get Coins equal to <color=#00e58a>that character's sell value</color>. (Limited to once per round.)","Tras crear un personaje de 2 o 3 estrellas, obtén monedas equivalentes <color=#00e58a>al valor de venta de ese personaje</color>. (Puede usarse solo una vez por ronda).",每次将角色制成2星或者3星时，可以获得相当于<color=#00e58a>相应角色出售价值</color>的硬币。（每回合仅限1次）,每當製作出角色2星或3星時，獲得<color=#00e58a>該角色的販賣價值</color>的硬幣。(每回合限制1次)
RuneCard_RC10023_Desc,전투에서 승리한 경우 <color=#00e58a>4코인</color>을 추가로 획득합니다.,Default Text,전투에서 승리한 경우 <color=#00e58a>4코인</color>을 추가로 획득합니다.,"After winning a Battle, gain an additional <color=#00e58a>4 Coins</color>.","Tras ganar una batalla, obtén <color=#00e58a>4 monedas</color> adicionales.",战斗胜利时，额外获得<color=#00e58a>4硬币</color>。,在戰鬥獲勝時，追加獲得<color=#00e58a>4硬幣</color>。
RuneCard_RC30009_Desc,"착용 중인 레어 등급 룬 카드 1개당 모든 아군이 마나 <color=#00e58a>20</color>, 보호막 <color=#00e58a>200</color>을 얻습니다.",Default Text,"착용 중인 레어 등급 룬 카드 1개당 모든 아군이 마나 <color=#00e58a>20</color>, 보호막 <color=#00e58a>200</color>을 얻습니다.",All allies gain <color=#00e58a>20</color> Mana and <color=#00e58a>200</color> Barrier for each equipped rare Rune Card.,Todos los aliados reciben <color=#00e58a>20</color> de maná y <color=#00e58a>200</color> de barrera por cada carta de runas rara equipada.,每佩戴1个稀有级的符文卡牌时，所有我军获得<color=#00e58a>20</color>魔量与<color=#00e58a>200</color>屏障。,每1張配戴中的稀有級符文卡使我軍獲得魔力<color=#00e58a>20</color>、護盾<color=#00e58a>200</color>。
RuneCard_RC20063_Desc,"아군 추격자 유닛이 마법 방어력이 낮은 유닛 대신 현재 체력 수치가 가장 낮은 유닛을 타겟으로 합니다. 추격자 시너지가 활성화된 상태일 때, 추격자의 마력이 <color=#00e58a>10</color> 증가하고 이동 속도가 <color=#00e58a>100%</color> 더 증가합니다.",Default Text,"아군 추격자 유닛이 마법 방어력이 낮은 유닛 대신 현재 체력 수치가 가장 낮은 유닛을 타겟으로 합니다. 추격자 시너지가 활성화된 상태일 때, 추격자의 마력이 <color=#00e58a>10</color> 증가하고 이동 속도가 <color=#00e58a>100%</color> 더 증가합니다.","Allied Chaser units target the unit with the lowest HP instead of the unit with lowest Magic Defense. When the Chaser Synergy is active, increases Chasers' Magic Attack by <color=#00e58a>10</color> and Move Speed by <color=#00e58a>100%</color>.","Las unidades aliadas de Perseguidor se fijan en la unidad con menos PV en lugar de la unidad con la defensa mágica más baja. Cuando el perseguidor tiene las sinergias activadas, aumenta su ataque mágico en <color=#00e58a>10</color> y la velocidad de movimiento en <color=#00e58a>100 %</color>.",我军追击者单位将当前血量数值最低的单位视为攻击目标，以取代低魔法防御力的目标单位。当追击者协同效果处于激活状态时，追击者的魔力增加<color=#00e58a>10</color>，移动速度增加<color=#00e58a>100%</color>。,我軍追擊者英雄不是以魔法防禦力低的英雄，而是以現在體力數值最低的英雄為目標。追擊者連鎖效果為啟動狀態時，追擊者的魔力會增加<color=#00e58a>10</color>，移動速度增加<color=#00e58a>100%</color>。
FullCoachSlot,이미 코치 넷을 모두 선택했습니다.,Default Text,이미 코치 넷을 모두 선택했습니다.,Already assigned all 4 Coaches.,Ya asignaste a los 4 entrenadores.,已选择所有四个教练。,已選好4名教練。
AlreadyChosenCoach,이미 선택한 코치입니다.,Default Text,이미 선택한 코치입니다.,Already selected this Coach.,Ya seleccionaste a este entrenador.,该教练已选择。,已選擇的教練。
IngameRules_ItemType_007,"시너지 효과로만 얻을 수 있는 전용 아이템입니다.\n시너지가 비활성화되면, 시너지 아이템은 사라집니다.",Default Text,"시너지 효과로만 얻을 수 있는 전용 아이템입니다.\n시너지가 비활성화되면, 시너지 아이템은 사라집니다.","An exclusive item that can only be obtained via Synergy effects.\nIf the Synergy is deactivated, the Synergy item will disappear.","Un artículo exclusivo que solo se puede obtener a través de efectos de sinergia.\nSi se desactiva la sinergia, el artículo de sinergia desaparecerá.",这是只能通过协同效果获得的专属道具。\n当协同效果未被激活时，相应协同效果道具会消失。,只有連鎖效果才能獲得的專用道具。\n連鎖效果停用後，連鎖效果道具就會消失。
TutorialPinkbeanMessage_0078,지금까지 메이플 올스타 리그의 기본 규칙이었어!\n여기까지 따라오기만 한 것도 정말 대단한걸?,Default Text,지금까지 메이플 올스타 리그의 기본 규칙이었어!\n여기까지 따라오기만 한 것도 정말 대단한걸?,And those were the basics of Maple All-Star League!\nGreat job keeping up!,¡Y esas fueron las reglas básicas de la liga de superestrellas de Maple!\n¡Buen trabajo!,到这里就是有关冒险岛全明星联赛的基本规则！\n能坚持到这里，真的了不起！,以上就是楓之谷全明星競賽賽事的基本規則！\n可以進行這裡，你真了不起！
IngameRules_Coin_002,"<color=""#ffd400"">코인</color>은 리그를 진행하며 정말 많이 사용되는 재화입니다!\n가장 기본적인 캐릭터 구매부터, 경험치, 아이템, 룬 카드, 새로고침 등 코인이 사용되지 않는 곳이 없죠.\n코인을 적절하게 관리하고 사용하는 것이 바로 좋은 실력을 가진 감독이 되는 길입니다!",Default Text,"<color=""#ffd400"">코인</color>은 리그를 진행하며 정말 많이 사용되는 재화입니다!\n가장 기본적인 캐릭터 구매부터, 경험치, 아이템, 룬 카드, 새로고침 등 코인이 사용되지 않는 곳이 없죠.\n코인을 적절하게 관리하고 사용하는 것이 바로 좋은 실력을 가진 감독이 되는 길입니다!","As you progress in the League, you'll need a lot of <color=""#ffd400"">Coins</color>!\nYou need Coins to buy characters, EXP, items, Rune Cards, and to refresh things.\nYou must manage your Coins effectively if you want to become a good director!","A medida que avances en la liga, necesitarás muchas <color=""#ffd400"">monedas</color>.\nNecesitas monedas para comprar personajes, EXP, artículos, cartas de runas y para actualizar cosas.\n¡Debes administrar las monedas de manera efectiva si quieres convertirte en un buen director!","<color=""#ffd400"">硬币</color>是在联赛中频繁使用的货币！\n从最基本的角色购买，到经验值、道具、符文卡牌、刷新等，几乎所有操作都离不开硬币。\n合理管理和使用硬币，是成为一名优秀主教练的关键所在！","<color=""#ffd400"">硬幣</color>是廣泛用於賽事的貨幣！\n從最基本的購買角色到經驗值、道具、符文卡、刷新等都需要硬幣。\n學習妥善管理硬幣，將硬幣使用得才能成為實力優秀的監督！"
IngameRules_Shop_002,"<color=""#ffd400"">상점</color>에서는 코인을 지불하고 캐릭터, 아이템, 룬 카드, 경험치를 구매할 수 있습니다. \n상점은 준비 단계에서 사용할 수 있습니다.",Default Text,"<color=""#ffd400"">상점</color>에서는 코인을 지불하고 캐릭터, 아이템, 룬 카드, 경험치를 구매할 수 있습니다. \n상점은 준비 단계에서 사용할 수 있습니다.","At the <color=""#ffd400"">shop</color>, you can use Coins to purchase characters, items, Rune Cards, and EXP.\nYou can use the shop during the ready phase.","En la <color=""#ffd400"">tienda</color>, puedes usar monedas para comprar personajes, artículos, cartas de runas y EXP.\nPuedes usar la tienda durante la fase de preparación.","在<color=""#ffd400"">商店</color>可用硬币购买角色、道具、符文卡牌和经验值。\n商店可以在准备阶段使用。","可在<color=""#ffd400"">商店</color>中支付硬幣購買角色、道具、符文卡、經驗值。\n準備階段時可使用商店。"
OutgameRules_CoachShop_002,"코치 상점에서는 로얄 시럽을 사용하여 코치를 영입할 수 있습니다.\n로얄 시럽은 코치 영입에서 코치를 영입할 때, 이미 보유한 코치 대신 지급됩니다.",Default Text,"코치 상점에서는 로얄 시럽을 사용하여 코치를 영입할 수 있습니다.\n로얄 시럽은 코치 영입에서 코치를 영입할 때, 이미 보유한 코치 대신 지급됩니다.","At the Coach Shop, you can use Royal Syrup to recruit Coaches.\nYou'll get Royal Syrup anytime you recruit a Coach that you already own.","En la tienda de entrenadores, puedes usar jarabe real para reclutar entrenadores.\nRecibirás jarabe real siempre que reclutes a un entrenador que ya poseas.",教练商店中可以使用皇家糖浆招募教练。\n招募教练时，通过发放皇家糖浆替代已持有的教练。,可在教練商店中使用皇家糖漿招募教練。\n如招募到已有的教練，將改為發放皇家糖漿。
RuneCard_RC30015_Desc,"전투 시작 시 모든 아군이 활성화된 시너지 하나당 최대 체력 <color=#00e58a>+50</color>, 공격력 및 마력<color=#00e58a>+8%</color>를 얻습니다. (고유 시너지 제외)",Default Text,"전투 시작 시 모든 아군이 활성화된 시너지 하나당 최대 체력 <color=#00e58a>+50</color>, 공격력 및 마력<color=#00e58a>+8%</color>를 얻습니다. (고유 시너지 제외)","At the start of battle, all allies gain <color=#00e58a>50</color> Max HP and <color=#00e58a>8%</color> Attack and Magic Attack for each active Synergy. (Excludes unique Synergies.)","Al inicio de la batalla, todos los aliados reciben <color=#00e58a>50</color> de PV máx. y <color=#00e58a>8 %</color> de ataque y ataque mágico por cada sinergia activa. (Excluye las sinergias únicas)",战斗开始时，每有一个已激活的协同效果使所有我军的最大血量<color=#00e58a>+50</color>，且攻击力与魔力<color=#00e58a>+8%</color>。（专属协同效果除外）,戰鬥開始時，所有我軍啟用的連鎖效果獲得最大體力<color=#00e58a>+50</color>、攻擊力及魔力<color=#00e58a>+8%</color>。(除固有連鎖效果外)
RuneCard_RC10003_Desc,전투 시작 시 보유한 룬 카드 1개마다 모든 아군의 공격속도가 <color=#00e58a>5%</color> 증가합니다.,Default Text,전투 시작 시 보유한 룬 카드 1개마다 모든 아군의 공격속도가 <color=#00e58a>5%</color> 증가합니다.,"At the start of battle, allies' Attack Speed increase by <color=#00e58a>5%</color> for each Rune Card you possess.","Al inicio de la batalla, aumenta la velocidad de ataque de todos los aliados en un <color=#00e58a>5 %</color>.",战斗开始时，每持有的1个符文卡牌使所有我军的攻击速度增加<color=#00e58a>5%</color>。,戰鬥開始時，每當持有1個符文卡，所有我軍的攻擊速度增加<color=#00e58a>5%</color>。
RuneCard_RC20003_Desc,전투 시작 시 빈 룬 카드 슬롯마다 아군이 <color=#00e58a>10%</color>의 가해량을 얻습니다. 이 카드는 빈 슬롯으로 간주합니다.,Default Text,전투 시작 시 빈 룬 카드 슬롯마다 아군이 <color=#00e58a>10%</color>의 가해량을 얻습니다. 이 카드는 빈 슬롯으로 간주합니다.,"At the start of battle, allies gain <color=#00e58a>10%</color> Damage Dealt per empty Rune Card slot. This card counts as an empty slot.","Al inicio de la batalla, los aliados aumentan un <color=#00e58a>10 %</color> el daño infligido por cada ranura de carta de runa vacía. Esta carta cuenta como una ranura vacía.",战斗开始时，每一个空符文卡牌插槽使我军造成的伤害量增加<color=#00e58a>10%</color>。该卡牌可被视为空插槽。,戰鬥開始時，每張空符文卡欄位數使我軍獲得<color=#00e58a>10%</color>傷害量。該卡牌視為空的欄位。
RuneCard_RC10030_Desc,전투 시작 시 활성화된 시너지가 하나도 없는 아군 유닛이 <color=#00e58a>20%</color>의 최대 체력과 <color=#00e58a>40%</color>의 공격속도를 얻습니다.,Default Text,전투 시작 시 활성화된 시너지가 하나도 없는 아군 유닛이 <color=#00e58a>20%</color>의 최대 체력과 <color=#00e58a>40%</color>의 공격속도를 얻습니다.,"At the start of battle, allies without active Synergies gain <color=#00e58a>20%</color> Max HP and <color=#00e58a>40%</color> Attack Speed.","Al inicio de la batalla, los aliados sin sinergia activa obtienen un <color=#00e58a>20 %</color> de PV máx. y un <color=#00e58a>40 %</color> de velocidad de ataque.",战斗开始时，没有任何已激活协同效果的我军单位获得<color=#00e58a>20%</color>的最大血量与<color=#00e58a>40%</color>的攻击速度。,戰鬥開始時，無啟用任何連鎖效果的我軍英雄獲得<color=#00e58a>20%</color>最大體力及<color=#00e58a>40%</color>攻擊速度。
RuneCard_RC30008_Desc,전투 시작 시 시너지가 활성화되지 않은 모든 아군이 <color=#00e58a>100%</color>의 공격력 및 마력을 얻습니다.,Default Text,전투 시작 시 시너지가 활성화되지 않은 모든 아군이 <color=#00e58a>100%</color>의 공격력 및 마력을 얻습니다.,"At the start of battle, any allies whose Synergies are not active gain <color=#00e58a>100%</color> Attack and Magic Attack.","Al inicio de la batalla, cualquier aliado cuya sinergia no esté activa recibe un <color=#00e58a>100 %</color> de ataque y ataque mágico.",战斗开始时，未激活协同效果的所有我军的攻击力与魔力增加<color=#00e58a>100%</color>。,戰鬥開始時，未啟用連鎖效果的所有我軍獲得<color=#00e58a>100%</color>的攻擊力和魔力。
Coach_Desc10,룬 카드 무료 새로고침 {0}회를 가진 상태로 경기 시작,Default Text,룬 카드 무료 새로고침 {0}회를 가진 상태로 경기 시작,Begin the match with {0} free Rune Card refreshes.,Inicia la partida con {0} actualizaciones de cartas de runas gratis.,在可以免费刷新{0}次符文卡牌的状态下开始比赛,以符文卡免費更新{0}次的狀態開始比賽
PEN20011,판매 불가 및 파괴 불가한 '크리슈라마' 룬 카드를 보유한 상태로 경기를 시작합니다.,Default Text,판매 불가 및 파괴 불가한 '크리슈라마' 룬 카드를 보유한 상태로 경기를 시작합니다.,Begin the match with the Chrishrama Rune Card. This card cannot be sold or destroyed.,Inicia la partida con la carta de runa de Chrishrama. Esta carta no se puede vender ni destruir.,在持有无法出售或破坏的“克利斯拉玛”符文卡牌的状态下开始比赛。,以持有不可販賣和破壞「克利斯拉瑪」符文卡的狀態開始比賽。
PEN20013,판매 불가 및 파괴 불가한 '덴마' 룬 카드를 보유한 상태로 경기를 시작합니다.,Default Text,판매 불가 및 파괴 불가한 '덴마' 룬 카드를 보유한 상태로 경기를 시작합니다.,Begin the match with the Denma Rune Card. This card cannot be sold or destroyed.,Inicia la partida con la carta de runa de Denma. Esta carta no se puede vender ni destruir.,在持有无法出售或破坏的“黛玛”符文卡牌的状态下开始比赛。,以持有不可販賣和破壞「黛瑪院長」符文卡的狀態開始比賽。
PEN20010,판매 불가 및 파괴 불가한 '떠돌이 연금술사' 룬 카드를 보유한 상태로 경기를 시작합니다.,Default Text,판매 불가 및 파괴 불가한 '떠돌이 연금술사' 룬 카드를 보유한 상태로 경기를 시작합니다.,Begin the match with the Eurek the Alchemist Rune Card. This card cannot be sold or destroyed.,Inicia la partida con la carta de runa de Eurek el Alquimista. Esta carta no se puede vender ni destruir.,在持有无法出售或破坏的“流浪炼金术士”符文卡牌的状态下开始比赛。,以持有不可販賣和破壞「流浪煉金術師」符文卡的狀態開始比賽。
PEN20016,판매 불가 및 파괴 불가한 '프레드릭' 룬 카드를 보유한 상태로 경기를 시작합니다.,Default Text,판매 불가 및 파괴 불가한 '프레드릭' 룬 카드를 보유한 상태로 경기를 시작합니다.,Begin the match with the Fredrick Rune Card. This card cannot be sold or destroyed.,Inicia la partida con la carta de runa de Fredrick. Esta carta no se puede vender ni destruir.,在持有无法出售或破坏的“弗兰德里”符文卡牌的状态下开始比赛。,以持有不可販賣和破壞「富蘭德里」符文卡的狀態開始比賽。
PEN20012,판매 불가 및 파괴 불가한 '골드리치 주니어' 룬 카드를 보유한 상태로 경기를 시작합니다.,Default Text,판매 불가 및 파괴 불가한 '골드리치 주니어' 룬 카드를 보유한 상태로 경기를 시작합니다.,Begin the match with the Little Richie Rune Card. This card cannot be sold or destroyed.,Inicia la partida con la carta de runa de Richie pequeño. Esta carta no se puede vender ni destruir.,在持有无法出售或破坏的“小金利奇”符文卡牌的状态下开始比赛。,以持有不可販賣和破壞「小黃金富豪」符文卡的狀態開始比賽。
PEN20009,판매 불가 및 파괴 불가한 '선더' 룬 카드를 보유한 상태로 경기를 시작합니다.,Default Text,판매 불가 및 파괴 불가한 '선더' 룬 카드를 보유한 상태로 경기를 시작합니다.,Begin the match with the Mr. Thunder Rune Card. This card cannot be sold or destroyed.,Inicia la partida con la carta de runa de Sr. Trueno. Esta carta no se puede vender ni destruir.,在持有无法出售或破坏的“雷霆”符文卡牌的状态下开始比赛。,以持有不可販賣和破壞「辛德」符文卡的狀態開始比賽。
PEN20014,판매 불가 및 파괴 불가한 '루티' 룬 카드를 보유한 상태로 경기를 시작합니다.,Default Text,판매 불가 및 파괴 불가한 '루티' 룬 카드를 보유한 상태로 경기를 시작합니다.,Begin the match with the Roo-D Rune Card. This card cannot be sold or destroyed.,Inicia la partida con la carta de runa de Roo-D. Esta carta no se puede vender ni destruir.,在持有无法出售或破坏的“卢笛”符文卡牌的状态下开始比赛。,以持有不可販賣和破壞「露緹」符文卡的狀態開始比賽。
PEN20007,판매 불가 및 파괴 불가한 '세피' 룬 카드를 보유한 상태로 경기를 시작합니다.,Default Text,판매 불가 및 파괴 불가한 '세피' 룬 카드를 보유한 상태로 경기를 시작합니다.,Begin the match with the Seppy Rune Card. This card cannot be sold or destroyed.,Inicia la partida con una carta de runa de Seppy. Esta carta no se puede vender ni destruir.,在持有无法出售或破坏的“赛比”符文卡牌的状态下开始比赛。,以持有不可販賣和破壞「賽飛」符文卡的狀態開始比賽。
PEN20015,판매 불가 및 파괴 불가한 '위즈' 룬 카드를 보유한 상태로 경기를 시작합니다.,Default Text,판매 불가 및 파괴 불가한 '위즈' 룬 카드를 보유한 상태로 경기를 시작합니다.,Begin the match with the Wiz Rune Card. This card cannot be sold or destroyed.,Inicia la partida con la carta de runa de Wiz. Esta carta no se puede vender ni destruir.,在持有无法出售或破坏的“威兹”符文卡牌的状态下开始比赛。,以持有不可販賣和破壞「懷玆」符文卡的狀態開始比賽。
PEN20008,판매 불가 및 파괴 불가한 '어린 륀느' 룬 카드를 보유한 상태로 경기를 시작합니다.,Default Text,판매 불가 및 파괴 불가한 '어린 륀느' 룬 카드를 보유한 상태로 경기를 시작합니다.,Begin the match with the Young Rhinne Rune Card. This card cannot be sold or destroyed.,Inicia la partida con la carta de runa de Rhinne Joven. Esta carta no se puede vender ni destruir.,在持有无法出售或破坏的“年幼伦娜”符文卡牌的状态下开始比赛。,以持有不可販賣和破壞「小優伊娜」符文卡的狀態開始比賽。
Achievement_Coach_Desc,경기 진행에 변화를 주는 효과를 지닌 코치입니다. \n코치 효과:,Default Text,경기 진행에 변화를 주는 효과를 지닌 코치입니다. \n코치 효과:,Bring this Coach along to add some variety to your matches.\nCoach Effect:,Lleva a este entrenador contigo para agregar variedad a tus partidas.\nEfecto del entrenador:,教练具有改变比赛局势的效果。\n教练效果：,擁有可以給比賽進程帶來變化效果的教練。\n教練效果：
OutgameRules_GameMode_Challenge_002,"챌린지 모드는 특정 룬 카드만 가지고 시작하거나, 아이템이 매 라운드마다 바뀌는 등, 특수한 규칙을 기반으로 진행되는 모드입니다.\n창의적인 전략으로 이 챌린지를 격파해보세요!\n\n챌린지의 각 챌린지는 감독 레벨이 50 오를때마다 하나씩 해금됩니다.\n\n챌린지 모드에서는 기본 시즌의 캐릭터, 시너지, 룬 카드만 사용할 수 있습니다.\n\n챌린지 모드는 하루에 3번 플레이할 수 있으며, 다음 날이 되면 플레이 횟수가 충전됩니다.",Default Text,"챌린지 모드는 특정 룬 카드만 가지고 시작하거나, 아이템이 매 라운드마다 바뀌는 등, 특수한 규칙을 기반으로 진행되는 모드입니다.\n창의적인 전략으로 이 챌린지를 격파해보세요!\n\n챌린지의 각 챌린지는 감독 레벨이 50 오를때마다 하나씩 해금됩니다.\n\n챌린지 모드에서는 기본 시즌의 캐릭터, 시너지, 룬 카드만 사용할 수 있습니다.\n\n챌린지 모드는 하루에 3번 플레이할 수 있으며, 다음 날이 되면 플레이 횟수가 충전됩니다.","Challenge Mode has special rules, like starting with specific Rune Cards or having items that change every round.\nYou'll need to use creative strategy to complete these challenges!\n\nNew challenges in Challenge Mode will unlock every 50 Director Levels.\n\nIn Challenge Mode, you can only use characters, Synergies, and Rune Cards from the Basic Season.\n\nYou can take on Challenge Mode 3 times a day, and your entry count recharges the next day.","El modo desafío tiene reglas especiales, como comenzar con cartas de runas específicas o portar artículos que cambian cada ronda.\n¡Tendrás que usar estrategias creativas para completar estos desafíos!\n\nSe desbloquearán nuevos desafíos en el modo desafío cada vez que tu nivel de director aumente en 50.\n\nEn el modo desafío, solo puedes usar personajes, sinergias y cartas de runas de la temporada básica.\n\nPuedes jugar al modo desafío 3 veces al día, y tus intentos se recargarán al día siguiente.",挑战模式是基于特殊规则进行的模式。其中有：只能携带特定符文卡牌开始游戏，每回合的道具都发生变化等。\n用富有创意的战略击破挑战！\n\n主教练等级每提升50级时，会解锁一个新的挑战。\n\n在挑战模式中，只能使用基本赛季的角色、协同效果与符文卡牌。\n\n每天可以进行3次挑战模式，次日会自动补充挑战次数。,挑戰模式是只能以特定符文卡展開戰鬥或每個回合道具都會改變等，以特殊的規則為基礎進行的模式。\n用創新的戰略攻破挑戰吧！\n\n監督等級每提升50等，就會解鎖一個挑戰。\n\n在挑戰模式中，只能使用基本賽季的角色、連鎖效果、符文卡。\n\n挑戰模式每天可以遊玩3次，隔天將補充遊玩次數。
ChangeFriendCoach,동행 코치가 변경되었습니다.,Default Text,동행 코치가 변경되었습니다.,Changed companion Coach.,Cambiaste al entrenador acompañante.,随行教练已变更。,同行教練已變更。
OutgameRules_ExpansionSeason_004,"확장 시즌에 등장하는 캐릭터들은 새로운 시너지를 가지고 등장합니다.\n확장 시즌의 캐릭터들은 새로운 시너지를 활용하거나, 기본 시즌에 있던 기존 시너지의 새로운 멤버로 사용할 수 있습니다.\n\n각 확장 시즌의 캐릭터, 시너지, 룬 카드는 다른 확장 시즌에서 등장할 수 없습니다.",Default Text,"확장 시즌에 등장하는 캐릭터들은 새로운 시너지를 가지고 등장합니다.\n확장 시즌의 캐릭터들은 새로운 시너지를 활용하거나, 기본 시즌에 있던 기존 시너지의 새로운 멤버로 사용할 수 있습니다.\n\n각 확장 시즌의 캐릭터, 시너지, 룬 카드는 다른 확장 시즌에서 등장할 수 없습니다.","Characters that appear in the Extended Season appear with new Synergies.\nThe Extended Season characters can utilize new Synergies, or they can be used as a new member of existing Synergies during the Basic Season.\n\nCharacters, Synergies, and Rune Cards for each Extended Season will not appear in other Extended Seasons.","Los personajes que aparecen en la temporada extendida aparecen con sinergias nuevas.\nLos personajes de la temporada extendida pueden usar sinergias nuevas, o se pueden usar como miembros nuevos de sinergias existentes durante la temporada básica.\n\nLos personajes, sinergias y cartas de runas de cada temporada extendida no aparecerán en otras temporadas extendidas.",扩展赛季中登场的角色将携带全新的协同效果。\n扩展赛季中的角色可以运用全新的协同效果，还可以作为基本赛季协同效果的新成员来使用。\n\n各扩展赛季中的角色、协同效果与符文卡牌不会出现在其他扩展赛季中。,在擴增賽季中登場的角色也會帶的新的連鎖效果一同登場。\n在擴增賽季中，可運用擴增賽季角色的新連鎖效果，也可以將先前賽季使用的連鎖效果運用在新的角色身上。\n\n每個擴增賽季的角色、連鎖效果、符文卡不會出現在另一個擴增賽季。
