EventType,Location,GroupID,SceneRUID,Title,Title (참고),Description,Description (참고),op1_ID,op1_description,op1_description (참고),op2_ID,op2_description,op2_description (참고),op3_ID,op3_description,op3_description (참고),reward_Ratio
,,21,,,,Event_description_21_3,"뾰로롱 하는 소리가 들리더니 프로펠러가 생겼다!\n\n""우와~ 난다 날아!""\n\n하늘을 나는 느낌이 너무 신나서\n이리저리 날다 보니 옆 동네까지 와버렸다. \n\n""걸어 돌아가는 건 조금 귀찮은데..\n날아가도 되겠지?""",100,Event_dialogue_55,날아가자.,101,Event_dialogue_56,걸어가자.,,,,
,,21,,,,Event_description_21_4,"아무 일 없다고 생각한 그 순간,\n\n프로펠러가 제멋대로 돌더니\n순식간에 뒷동산까지 날아왔다.\n\n비행 마법도 다 되었는지 사라져버렸다.\n\n""꼬미꼬 말을 듣길 그랬어..""",,,,,,,,,,
,,21,,,,Event_description_21_5,"반쯤 걸어왔을 때 꼬미꼬가 날아왔다.\n\n""날 붙잡아. 농장까지 데려다줄게~""\n\n""약속을 잘 지켰구나. 안 그러면 지금쯤….""\n\n오싹함을 느낀다.",,,,,,,,,,100
main,,22,8cee807f2a77447abf04a59ed1c0e5d8,Event_title_22,아저씨의 과거,Event_description_22_1,"일꾼 아저씨에게 말을 건넨다.\n\n""아저씨 덕분에 농장 일이 편해졌어요.\n 와주셔서 감사합니다.""",103,Event_skip_page,넘기기,,,,,,,
,,22,,,,Event_description_22_2,"""나도 이렇게 성실한 농장주는 오랜만일세.""\n\n""나의 어린 시절이 생각난달까..""\n\n""몬스터들을 키우는 데 정말 진심이었다네.""\n\n회상에 잠긴 듯하다.",104,Event_skip_page,넘기기,,,,,,,
,,22,,,,Event_description_22_3,"""농장주 시절 내겐 별명이 있었지.""\n\n""한번 맞춰보게.""\n\n어떤 별명일까?",105,Event_dialogue_57,먹보,106,Event_dialogue_58,에디슨,,,,
,,22,,,,Event_description_22_4,"""내가 그렇게 많이 먹는 사람처럼 보이나?!""\n\n""실망일세.""\n\n단단히 삐진 듯하다.",,,,,,,,,,
,,22,,,,Event_description_22_5,"""푸하하! 내가 그렇게 똑똑해 보이나?""\n\n아저씨의 기분이 무척 좋아 보인다.",,,,,,,,,,100
main,,23,c994ad76506749f28f1a9e47d4ca6e0b,Event_title_23,푸리의 성장,Event_description_23_1,"푸리에게 사춘기가 왔다.\n\n""푸리야, 시간이 지나면 누구나 성장을 한단다.""\n\n""물론 남들보다 조금은 빨라도 좋겠지만..""\n\n""나는 푸리가 왜 성장을 하고 싶은지 알고 싶어.""",108,Event_skip_page,넘기기,,,,,,,
,,23,,,,Event_description_23_2,"잠깐 고민하더니 푸리가 말을 한다.\n\n""루니 형이 푸리 종족의 깃털은 볼품없대.""\n\n""하지만 난 믿어. 나의 가능성을.""",109,Event_skip_page,넘기기,,,,,,,
,,23,,,,Event_description_23_3,"""푸리 종족의 깃털은 정말 부드러워.""\n\n""내가 성장하면 더욱 부드럽고 멋진 깃털을\n가지게 될 거야!""",110,Event_dialogue_59,기대할게.,111,Event_dialogue_60,설마.,,,,
,,23,,,,Event_description_23_4,"""믿어줘서 고마워~ 든든한 지원군이 생긴 기분이야.""\n\n푸리가 달려와서 품에 안긴다.\n\n""너무 부드러워~""",,,,,,,,,,100
,,23,,,,Event_description_23_5,"""내 말을 믿지 않는다고 해도 상관없어.""\n\n""난 나를 믿어!""\n\n푸리가 제대로 화났다.",,,,,,,,,,
main,,24,6a564f7200bf458496c3d77058f4b68c,Event_title_24,타임캡슐,Event_description_24_1,새로 구매한 나무를 심기 위해 땅을 팠다.\n\n한참을 팠을까?\n\n삽의 끝에 무언가 걸린 게 느껴진다.,113,Event_skip_page,넘기기,,,,,,,
,,24,,,,Event_description_24_2,"흙을 치우고 꺼내어 보니 타임캡슐이다.\n\n'개봉일 20XX년 XX월 XX일'\n\n""한 달 밖에 안 남았네..""\n\n열어보려는 찰나 문구를 하나 더 발견했다.",114,Event_skip_page,넘기기,,,,,,,
,,24,,,,Event_description_24_3,"""주의사항 : 반드시 개봉일 이후에 열어볼 것""\n\n너무 열어보고 싶은데..",115,Event_dialogue_61,열어본다.,116,Event_dialogue_62,참는다. ,,,,
,,24,,,,Event_description_24_4,"캡슐을 열자 보라색 연기가 뿜어져 나오더니 사라져 버렸다. \n\n""그건 무엇이었을까?""",,,,,,,,,,
,,24,,,,Event_description_24_5,"캡슐을 집으로 가져와 선반 위에 올려두었다.\n\n어느 날 집으로 돌아왔을 때\n난생 처음 보는 몬스터가 날 반겨주었다.\n\n""안녕!""",,,,,,,,,,100
main,,25,ccaff643bcbf45d9a1d8ed4df911be6b,Event_title_25,과학자 ,Event_description_25_1,"""속보요, 속보!""\n\n""내가 연구의 비밀을 알아내었소!""\n\n""버튼을 빠르게 두 번 누른 뒤 \n다시 꾹 누르면 성공 확률이 올라갑니다!""",118,Event_skip_page,넘기기,,,,,,,
,,25,,,,Event_description_25_2,"웅성웅성…'\n\n""그런 방법이 있었단 말이야?\n당장 시도해 보겠어!""\n\n""오오..! 숨겨진 등급 상승률이 있는 것 같소!""",119,Event_skip_page,넘기기,,,,,,,
,,25,,,,Event_description_25_3,"""말도 안 돼..!""\n\n그런 방법은 없다.\n\n헛소문을 퍼트리고 있는게 분명한데..\n\n막을 방법이 없을까? ",120,Event_dialogue_63,소문낸다.,121,Event_dialogue_64,회유한다. ,122,Event_dialogue_65,기다린다.,
,,25,,,,Event_description_25_4,"""확증편향이라고 했던가.""\n\n연구가 성공하기를 바라는 사람들은\n더 이상 다른 사람의 말을 들으려 하지 않았다. ",,,,,,,,,,
,,25,,,,Event_description_25_5,"""누가 더 빠르게 등급을 올리는지 내기하죠.""\n\n조금이라도 빨리 등급을 올리기 위해\n사람들은 버튼을 연타하는 것에만 집중했다.\n\n과학자의 말은 까마득하게 잊어버린 채.",,,,,,,,,,100
,,25,,,,Event_description_25_6,모두가 이 방법을 여러 번 시도했다.\n\n이윽고 아무런 성과가 없다는 것을 모두가 알게 되었다.\n\n거짓 이야기를 퍼트린 농장주는 눈초리를 피해\n다른 마을로 떠났는지 더 이상 볼 수 없었다. ,,,,,,,,,,
main,,26,ee0744fc5d6d435c9286954a6d35521a,Event_title_26,어른이 되기 싫어,Event_description_26_1,"핍이 울먹이며 말한다.\n\n""성장하면 더 큰 세상이 있을 거라구? 다 거짓말이야!""\n\n""후크 선장을 봐, 항상 악어에게 쫓기고\n심지어 손도 잃었어.""",124,Event_skip_page,넘기기,,,,,,,
,,26,,,,Event_description_26_2,"""싫어! 싫다구! 난 절대 어른이 되고 싶지 않아.""\n\n핍에게 어떻게 말해줘야 좋을까.",125,Event_dialogue_66,일단 참아.,126,Event_dialogue_67,설득한다.,,,,
,,26,,,,Event_description_26_3,"""참으라구? 내가 세상에서 제일 싫어하는 말이야!""\n\n핍이 화가 났는지 농장 밖으로 도망갔다.\n\n""더 따뜻하게 말해줄 걸 그랬나..""",,,,,,,,,,
,,26,,,,Event_description_26_4,"""아니야, 핍~ 피터 팬은 결국 네버랜드에 남았지. 그곳을 벗어나지 못한거야.""\n\n""그런데 웬디는? 어른이 되었지.""\n\n""더 많은 것을 경험했고 힘들 때도 있었지만 행복한 인생을 살았어.""\n\n진심이 닿았는지 핍이 고마워한다.",,,,,,,,,,100
main,,27,a2ab5512c2194685a4822b7ad2819efa,Event_title_27,도감 퀴즈,Event_description_27_1,"마을에서 열리는 몬스터 퀴즈 대회에 참가했다.\n\n""도감을 열심히 모으다 보면 자연스레\n몬스터 박사가 됩니다!""\n\n""문제를 맞히면 상금이 쏟아집니다~""",128,Event_skip_page,넘기기,,,,,,,
,,27,,,,Event_description_27_2,"퀴즈 문제를 전부 맞히고 어느덧 마지막이다.\n\n이번 문제만 맞히면 난 퀴즈왕이 된다!!\n\n""대망의 마지막 문제입니다~""\n\n""쿠키, 도넛, 포도를 싫어하는 몬스터는?""",129,Monster_name_48,덕구,130,Monster_name_55,동그리,131,Event_dialogue_70,롱뇽,
,,27,,,,Event_description_27_3,"""땡! 덕구는 정답이 아닙니다~\n덕구는 기억력이 안 좋다는 특징이 있죠.""\n\n""덕분에 모든 것을 새롭고 흥미진진하게 느낀답니다.""\n\n""탈락~다음 기회를 노려주세요~""\n\n눈물을 머금고 대회장을 빠져나왔다.",,,,,,,,,,
,,27,,,,Event_description_27_4,"""정답~ 동그리는 둥글게 생긴 요리를 싫어합니다.\n쿠키, 도넛, 포도 모두 둥글하죠!""\n\n대회를 지켜보던 동그리가 말한다.\n\n""날 동그리라고 불러도 좋아. 왜냐면 사실이니까..""\n\n""하지만 날 동그리라고 부르는 건 참을 수 없다!""",,,,,,,,,,100
,,27,,,,Event_description_27_5,"""땡! 롱뇽이는 음식보다 물모리를 더 좋아해요.""\n\n""습도 높은 곳을 좋아해서 물모리 근처에서 종종 발견되기도 한답니다.""\n\n'먹지 마세요. 롱뇽에게 물모리를 양보하세요.""\n\n""탈락~다음 기회를 노려주세요~""\n\n눈물을 머금고 대회장을 빠져나왔다.",,,,,,,,,,
main,,28,340579f1d32248b4a90c8637723fd7c3,Event_title_28,"연두콩, 추억",Event_description_28_1,"두콩이를 조합할 순간이 찾아왔다.\n\n""엉엉…두콩아~ 너랑 헤어지기 싫어.""\n\n""뒷동산에서 술래잡기도 하고\n함께 도시락도 먹고..""\n\n""얼마나 즐거웠는데..!"" ",133,Event_skip_page,넘기기,,,,,,,
,,28,,,,Event_description_28_2,"""이제는 헤어져야 한다는 게 너무 슬퍼.""\n\n두콩이가 말한다.\n\n""내가 영영 사라지는 게 아니야~ 다음 세대로\n성장하면 더 즐겁게 놀자구~"" ",134,Event_dialogue_71,조합한다.,135,Event_dialogue_72,그만둔다.,,,,
,,28,,,,Event_description_28_3,"연두콩이 조합을 통해 다음 세대로 성장했다.\n\n그리고 오우르스의 모습으로 나타났다.\n\n오우르스가 말한다.\n\n""더 단단한 뿔을 가지게 되었어, 고마워!"" ",,,,,,,,,,100
,,28,,,,Event_description_28_4,"연두콩이 아쉬운 듯이 말한다.\n\n""조합을 통해 더 멋지게 변하고 싶었는데..\n조금 아쉽네.""",,,,,,,,,,
main,,29,5c5bf48eab0b49dda3ac218573e5073a,Event_title_29,대회 출전,Event_description_29_1,"""본선에 진출한 분들을 소개합니다.\n\n""환영해주세요!""",137,Event_skip_page,넘기기,,,,,,,
,,29,,,,Event_description_29_2,"""요리 대회 주제를 공개합니다.""\n\n""오늘의 요리는~ 덮밥, 리조또, 스테이크입니다!""",138,Event_dialogue_73,덮밥,139,Event_dialogue_74,리조또,140,Event_dialogue_75,스테이크,
,,29,,,,Event_description_29_3,"""음.. 덮밥은 만들어 본 적이 없는데..""\n\n긴장된 상태로 요리를 하다가 조금 실수했다.\n\n""결과는 동상!~""",,,,,,,,,,20
,,29,,,,Event_description_29_4,"""음.. 리조또는 자신이 없는데..""\n\n긴장된 상태로 요리를 하다가 조금 실수했다.\n\n""결과는 은상!~""",,,,,,,,,,50
,,29,,,,Event_description_29_5,"""좋아~스테이크는 자신 있어!""\n\n난생 최고의 요리를 만들었다.\n\n""결과는 대상!~""\n\n""요리 특훈한 보람이 있다구~""",,,,,,,,,,100
main,,30,1d63dd469bdb42cf8073048a9602b27b,Event_title_30,사회 공헌,Event_description_30_1,"농장일을 하면서 돈도 많이 벌었겠다,\n\n지금까지 번 돈의 일부를 사회에 공헌하고\n싶다는 생각이 들었다. ",142,Event_skip_page,넘기기,,,,,,,
,,30,,,,Event_description_30_2,"""흠~ 어떤 분야에 공헌을 할까?""\n\n복지 : 모든 몬스터에게 건강식품 제공\n\n환경 : 잉여 생산품을 센터로 보내서 재활용\n\n연구 기부 : 몬스터 연구비의 일부 제공",143,Event_dialogue_76,복지,144,Event_dialogue_77,환경,145,Event_dialogue_78,연구 기부,
,,30,,,,Event_description_30_3,"몬스터들이 건강식품을 먹고 열심히 일했다.\n\n""농업에 기여를 한 것 같아서 뿌듯해~""",,,,,,,,,,100
,,30,,,,Event_description_30_4,잉여 생산품은 생각보다 활용도가 높았다.\n\n환경을 생각하는 농장이라는 칭호를 얻고\n상금을 받았다~ ,,,,,,,,,,100
,,30,,,,Event_description_30_5,몬스터 연구가 활발해짐에 따라 몬스터의 행복에도 기여를 하게 되었다.\n\n몬스터 농장주들에게 고마움의 표시로 상금을 받았다.,,,,,,,,,,100
main,,31,1649b76d6b34421d9ff33234ab97946f,Event_title_31,캔디 도둑,Event_description_31_1,"캔디 저금통을 살펴보며 캔디를 얼마나 모았는지 개수를 세고 있다.\n\n""XX개..? 딱 X개가 모자란데...?""\n\n큰 금액은 아니지만, 개수가 맞지 않는 게\n조금 수상하다. ",147,Event_skip_page,넘기기,,,,,,,
,,31,,,,Event_description_31_2,"""좋아~ 페페루에게 부탁하자!""\n\n페페루에게 캔디를 지켜달라고 부탁했다.\n\n그날 밤 도둑이 잡혔고, 이번에 새로 이사 온 다니엘이 범인이었다.",148,Event_skip_page,넘기기,,,,,,,
,,31,,,,Event_description_31_3,"다니엘이 미안한 눈빛으로 쳐다보며 말한다.\n\n""농장 운영이 익숙하지 않아 너무 힘들었어..\n조합을 하려는데 캔디가 딱 X개 모자라서..""\n\n""오늘 다시 가져다 두려고 온 거야, 미안..""",149,Event_dialogue_79,용서한다. ,150,Event_dialogue_80,신고한다.,,,,
,,31,,,,Event_description_31_4,"""한번은 봐줄게, 다신 그러지마~""\n\n다니엘을 용서해주기로 했다. \n\n그리고 며칠 뒤,\n\n다니엘이 소정의 보상을 가져왔다!",,,,,,,,,,100
,,31,,,,Event_description_31_5,"""용서할 수 없어, 그건 범죄야!""\n\n경찰에 신고했다.\n\n""나쁜 짓을 하면 벌을 받아야지~""",,,,,,,,,,
main,,32,8902ac5a06fc4048b179aecbb150b29b,Event_title_32,유일 갖고 싶어!,Event_description_32_1,"어찌저찌 5세대 전설 등급의 몬스터를 얻는 것 까지는 성공하였는데, 유일 등급을 얻기란 여간 쉬운 것이 아니였다. ",152,Event_skip_page,넘기기,,,,,,,
,,32,,,,Event_description_32_2,"""5세대 몬스터를 얻는 건 성공했는데..\n유일 등급을 얻기는 쉽지 않구나..!""\n\n머리를 싸매고 있을 때\n괴짜로 소문난 뉴크 박사가 농장을 방문했다.\n\n""유일 등급을 얻으려면 이러쿵~저러쿵 하면 된다네.""\n\n솔깃하지만 맞는 방법인지는 모르겠다.",153,Event_skip_page,넘기기,,,,,,,
,,32,,,,Event_description_32_3,"농장의 모든 걸 알고 계신 이장님을 찾아가 보자.\n\n""이장님 집에 계셔요~?""\n\n""껄껄껄.. 보나마나 유일 몬스터 문제겠군.""\n\n""유일 등급을 쉽게 얻는 방법은 없다네.\n모든 일의 기본은 그저 성실하게 임하는 것뿐.""\n\n누구의 말을 들어야 할까?",154,Event_dialogue_81,뉴크 박사,155,Event_dialogue_82,이장님,,,,
,,32,,,,Event_description_32_4,"뉴크 박사의 말을 듣고\n이러쿵~저러쿵~ 방법을 해봤다.\n\n하지만 전혀 효과가 없었다..\n\n""또 농장에 오면 물을 뿌릴테다!!""",,,,,,,,,,
,,32,,,,Event_description_32_5,"이장님의 말씀대로 성실하게 임했다.\n\n그리고 며칠 뒤 처음으로 유일 등급 몬스터를 획득했다!""\n\n""역시 이장님이 최고야~""",,,,,,,,,,100
surprise,ground,33,11162cd53cc545ce99a5d5120220db58,Event_title_33,수상한 음악가,Event_description_33_1,"바이올린을 맨 수상한 사람이 농장을 방문했다.\n\n""당신! 지금 생산물을 판매하러 가는 게 맞지요?""\n\n""나는 푸리의 깃털이 필요하오.\n그...그거 나에게 파시오.""",157,Event_skip_page,넘기기,,,,,,,
,,33,,,,Event_description_33_2,음..엄청 수상한데..'\n\n푸리의 깃털을 딱 한 가닥만 사겠다고 하니\n그럴 만한 이유가 있어 보이기도 한다.\n\n'하지만.. 지금 나한테는 약간의 돈도 필요한데..어떡하지..?',158,Event_dialogue_83,판다.,159,Event_dialogue_84,안 판다.,160,Event_dialogue_85,그냥 준다.,
,,33,,,,Event_description_33_3,"""고맙소! 받아주게, 시장가의 두 배요.""\n\n""푸리의 깃털은 바이올린의 줄을 다듬는 데 필요했소.""\n\n말을 끝내고는 고마움의 표시로\n감미로운 연주를 들려주었다.",,,,,,,,,,100
,,33,,,,Event_description_33_4,"""알겠소, 애초에 나의 물건은 아니니\n어쩔 수 없다는 걸 알고 있었소.""\n\n제자리에서 바이올린을 어루만지더니\n농장 밖으로 사라졌다.",,,,,,,,,,
,,33,,,,Event_description_33_5,"""고맙소!""\n\n""푸리의 깃털은 바이올린의 줄을 다듬는 데 필요했소.""\n\n말을 끝내고는 고마움의 표시로\n감미로운 연주를 들려주었다.",,,,,,,,,,100
surprise,ground,34,05223067adf34523891eae19ea1a5654,Event_title_34,돈이 없어요!,Event_description_34_1,"열심히 모은 돈을 저축하기 위해\n\n은행으로 가던 도중 복권 판매소를 보게 되었다.\n\n""우와.. 재미있겠다..!""\n\n마침 남은 돈도 있는데 잘 됐다.",162,Event_skip_page,넘기기,,,,,,,
,,34,,,,Event_description_34_2,"100원, 500원, 2000원짜리 복권이 보인다.'\n\n""확률은 같지만 비싼 복권일수록 당첨금이 많네.""\n\n어떤 복권을 고를까?",163,Event_dialogue_86,100원,164,Event_dialogue_87,500원,165,Event_dialogue_88,2000원,
,,34,,,,Event_description_34_3,"""우왓! 당첨!""\n\n""이럴 줄 알았으면 비싼 복권으로 살걸!""\n\n살짝 아쉬웠지만 잃는 것보다는 낫지, 뭐.",,,,,,,,,,50
,,34,,,,Event_description_34_4,"""우왓! 당첨!""\n\n""오늘 운수가 좋잖아?""\n\n반은 저금하고 반은 놀 때 쓸래~""",,,,,,,,,,100
,,34,,,,Event_description_34_5,"""뭐야! 꽝이잖아!""\n\n""저렴한 복권으로 살 걸 그랬어!!!""\n\n오늘 운수가 안 좋은 것 같다.\n\n""집 가는 길에 비라도 내리려나..?""",,,,,,,,,,
surprise,ground,35,ab23a58e584e4f26a39ef735cfc65fcc,Event_title_35,식재료 손질,Event_description_35_1,"""즐거운 식재료 손질~""\n\n몬스터에게 줄 요리를 만드는 중이다.\n\n""왜 자꾸만 눈물이 나는지..이 양파 맵잖아?!""",167,Event_skip_page,넘기기,,,,,,,
,,35,,,,Event_description_35_2,"뽐뽀미가 호기심 가득한 얼굴로 다가와서 말한다.\n\n""내가 껍질 까는데는 선수거든.\n많이 먹어봐서.. 아.. 아냐!""\n\n""아무튼 내가 재료 손질을 도와줄게.""",168,Event_dialogue_89,도와주라.,169,Event_dialogue_90,혼자 할게.,,,,
,,35,,,,Event_description_35_3,"""뽐뽀미의 도움 없이는 오래 걸렸을 거야!""\n\n""뽐뽀미야 고마...""\n\n뒤를 돌아보니 뽐뽀미는 이미 사라지고 없었다.\n\n""하나..둘.. 어? 뭐야! 요리가 하나 부족하잖아!""",,,,,,,,,,100
,,35,,,,Event_description_35_4,"""혼자 뭔 고생이람...""\n\n저녁이 넘어서야 모든 요리를 완성했다.\n\n""너무 피곤해.. 어서 빨리 자러 갈래.""",,,,,,,,,,
surprise,ground,36,3b38bbab4b404062a617f4e9863c8b7a,Event_title_36,화를 식힐 방법,Event_description_36_1,"""으, 화가 난다!""\n\n다른 몬스터도 조합으로 얻고 싶은데\n계속 같은 몬스터만 나온다.",171,Event_skip_page,넘기기,,,,,,,
,,36,,,,Event_description_36_2,"""기분 좀 풀고 싶은데.. 좋은 방법 없으려나?""\n\n""그래! 이게 좋겠다!""",172,Event_dialogue_91,게임 할래.,173,Event_dialogue_92,낮잠 잘래.,174,Event_dialogue_93,과자 먹을래.,
,,36,,,,Event_description_36_3,"모든 게임을 다 졌다.\n\n""으아악~~더 화가 나!!""\n\n화를 참기가 너무 힘들다!",,,,,,,,,,
,,36,,,,Event_description_36_4,"""아으~ 잘 잤다.""\n\n낮잠을 자고 일어났더니 개운하다.\n\n새로운 마음으로 다시 조합을 해봐야겠다.",,,,,,,,,,100
,,36,,,,Event_description_36_5,"과자를 먹다 보니 조합을 했다는\n사실도 잊어버렸다.\n\n그런데 먹는 걸 멈출 수가 없다.\n\n""살 찌려나..?""",,,,,,,,,,
surprise,ground,37,c80d756965534d35af577df5c6272e5f,Event_title_37,다라미의 버섯,Event_description_37_1,"""오늘도 즐거운 농장 생활~""\n\n하늘이 맑아서 그런지 오늘따라 기분이 좋다. \n\n어제 새로 데려온 다라미가 보인다.",176,Event_skip_page,넘기기,,,,,,,
,,37,,,,Event_description_37_2,"""다라미는 버섯을 캐오는 특징이 있다던데..""\n\n게다가 다른 몬스터들과 달리 마법을\n부릴 수 있다고 한다.\n\n다라미가 캐오는 버섯에 효능이 있는 게 아닐까.\n\n""버섯을 먹고 나도 마법을 쓸 수 있다면..?""\n\n마침 저 멀리 버섯이 보인다.",177,Event_dialogue_94,먹는다,178,Event_dialogue_95,버린다.,,,,
,,37,,,,Event_description_37_3,"""윽...이건 독버섯이잖아!""\n\n갑자기 몸이 말을 듣지 않는다. \n\n말도 나오지 않고 이대로 가다간…\n\n그리고 몇 시간 후, 건초 더미 위에서 눈을 떴다.",,,,,,,,,,
,,37,,,,Event_description_37_4,"다라미가 의심 가득한 눈으로 쳐다보고 있다. \n\n""설마 그 버섯을 먹으려는 건 아니지?""\n\n""그건 독 버섯! 먹으면 마비가 오는 무서운 버섯이라구!""\n\n휴.. 간신히 살았다.",,,,,,,,,,100
surprise,ground,38,08de8d6c81cd413890f5ad73740578a2,Event_title_38,다니입보바는나,Event_description_38_1,"""윽..또 실패다..!""\n\n또, 또 조합 실패다.\n\n""원하는 몬스터는 쉽게 나오질 않는구나..""\n\n""금방 얻을 줄 알았는데..""",180,Event_skip_page,넘기기,,,,,,,
,,38,,,,Event_description_38_2,"옆에서 쳐다보던 장난꾸러기 픽시가 말을 건다.\n\n""원하는 몬스터가 나오게 해줄게~""\n\n""내가 하는 말을 잘 따라 하기만 하면 돼.""\n\n""자, 따라 해봐.""\n\n'다니입보바는나'",181,Event_dialogue_96,따라 한다.,182,Event_dialogue_97,싫어!,,,,
,,38,,,,Event_description_38_3,"따라 해본다.\n\n""다니입보바는나""\n\n""반대로 읽으면…""\n\n""나는 바보입니다..?""\n\n""픽시 너! 나를 바보로 알았겠다. 거기 서!!""",,,,,,,,,,
,,38,,,,Event_description_38_4,"뭔가 이상하다.\n\n'다니입보바는나'\n\n'나는바보입니다..?'\n\n""히히, 난 이런 장난에 속지 않는다구~""",,,,,,,,,,100
surprise,ground,39,9900881bb5f247ec9bcf4a6d6e3f3375,Event_title_39,새로운 일꾼,Event_description_39_1,"새로 고용한 일꾼을 알고 계시는 듯 하다.\n\n""일꾼 아저씨! 아시는 분이세요?""\n\n""그래, 나의 오랜 친구라네.\n정말 즐거웠는데 말이야..""\n\n친구를 보니 과거의 추억에 잠긴 듯 하다. ",184,Event_skip_page,넘기기,,,,,,,
,,39,,,,Event_description_39_2,"""우리는 마을의 용감한 탐험대였지.""\n\n""지금은 이렇게 나이를 먹고 농장에서\n일을 하고 있지만 말야.""\n\n얘기를 더 듣고 싶지만,\n일할 시간이 다 됐는데 어떻게 할까.",185,Event_dialogue_98,일을 한다.,186,Event_dialogue_99,더 듣는다.,,,,
,,39,,,,Event_description_39_3,"""아차차, 미안하네..""\n\n""남은 일들은 오늘 안에 무조건 끝내두도록 하지.""\n\n더 얘기하고 싶으셨던 것 같기도.",,,,,,,,,,
,,39,,,,Event_description_39_4,"""내 이야기를 경청해 주어서 고맙네.""\n\n""같이 아이스크림이라도 먹으러 가세.""\n\n역시 더위에는 시원한 아이스크림~",,,,,,,,,,100
surprise,ground,40,65edd3d799ad40db8849905146323f35,Event_title_40,훈련 시간,Event_description_40_1,"몬스터 훈련 시간이 찾아왔다.\n\n""주목! 이번 훈련의 주제는 힘을 합쳐\n다리 건너기입니다.""\n\n""푸리와 함께 훈련할 친구 있나요?",188,Event_skip_page,넘기기,,,,,,,
,,40,,,,Event_description_40_2,"세 몬스터가 지원했다.\n\n어미 부엉 : 따뜻한 마음씨로 유명하다.\n무공 : 똑똑하다.\n미르 : 톡톡튀는 발랄함을 가졌다.\n\n""과연, 푸리와 잘 맞으면서도 훈련을 멋지게 해낼 몬스터는 누구일까요?""",189,Event_dialogue_100,어미 부엉,190,Event_dialogue_101,무공,191,Event_dialogue_102,미르,
,,40,,,,Event_description_40_3,"""어미 부엉은 푸리와 함께 일한 적이 있어..!""\n\n어미 부엉은 푸리의 약점을 잘 보완해 주었다.\n\n훈련은 완벽했다!",,,,,,,,,,100
,,40,,,,Event_description_40_4,"""무공의 지혜는 훌륭하지!""\n\n무공은 푸리의 고민을 해결해 주었다.\n\n훈련은 완벽했다!",,,,,,,,,,100
,,40,,,,Event_description_40_5,"""미르의 발랄함은 최고야!""\n\n미르는 창의적인 아이디어를 냈다.\n\n훈련은 완벽했다!",,,,,,,,,,100
surprise,ground,41,40b0d68eeb524817b98a1651a7e0c280,Event_title_41,농장 가꾸기,Event_description_41_1,"""농장을 어떻게 꾸며야 인기를 얻을까?""\n\n'더 많은 명성을 얻고 싶은데..\n좋은 방법 없을까..'",193,Event_skip_page,넘기기,,,,,,,
,,41,,,,Event_description_41_2,"픽시가 다가오더니 말을 건다.\n\n""난 예술에 재능이 있어! 내가 도움을 줄까~""\n\n""마법의 힘으로 농장을 꾸며줄게!""\n\n어떻게 부탁해볼까?",194,Event_dialogue_103,넘치는 개성,195,Event_dialogue_104,어울리는 색,196,Event_dialogue_105,유행 스타일,
,,41,,,,Event_description_41_3,"개성 넘치는 아이템으로 농장이 꽉 찼다. \n\n""음~신선한데?""\n\n""마음에 들어~고마워, 픽시!""",,,,,,,,,,100
,,41,,,,Event_description_41_4,"봄 풍경의 농장이 탄생했다!\n\n'인기 있는 농장이 될 거야.'\n\n""고마워, 픽시!""",,,,,,,,,,100
,,41,,,,Event_description_41_5,"다른 농장과 비슷하면서도 개성 있는\n농장이 탄생했다!\n\n'내가 바로 인기 농장주!""\n\n""고마워, 픽시!""",,,,,,,,,,100
surprise,ground,42,d19cc6875a9d40a18f933c91895c40a8,Event_title_42,MBTI 문제,Event_description_42_1,"""대체 왜 이렇게 싸우는 거니?""\n\n요즘 푸리 두 마리가 맨날 싸운다.\n\n""이유가 뭔지 궁금해.""",198,Event_skip_page,넘기기,,,,,,,
,,42,,,,Event_description_42_2,"푸리 A : 나는 꽃놀이하러 가고 싶어~""\n푸리 B : 나는 운동을 즐기고 싶다구~""\n\n좀처럼 진정되지 않는다.\n\n어떻게 해야 좋을까.",199,Event_dialogue_106,서로 양보해.,200,Event_dialogue_107,다른 친구 찾아.,201,Event_dialogue_108,둘이 해결해.,
,,42,,,,Event_description_42_3,"""서로 조금씩 양보하는 건 어때?""\n\n""아침에는 꽃놀이, 오후에는 축구를 하자!""\n\n표정을 보니 둘 다 만족한 듯하다.\n\n해결 완료!",,,,,,,,,,100
,,42,,,,Event_description_42_4,"""꼭 양보할 필요는 없단다!""\n\n""꽃놀이가 하고 싶다면 꽃놀이를\n좋아하는 친구와 함께 하면 돼.""\n\n표정을 보니 둘 다 만족한 듯하다.\n\n해결 완료!",,,,,,,,,,100
,,42,,,,Event_description_42_5,"푸리 중 하나가 화났다는 듯이 말한다.\n\n""싸움을 방임하는 건 무책임한 훈육법이에요!""\n\n푸리가 원래 이렇게 똑똑했나..?",,,,,,,,,,
surprise,ground,43,0e425772838b4562a8b959cec77af712,Event_title_43,복을 나눠줘. ,Event_description_43_1,"복만이와 하늘을 보며 잔디 위에 누워있다.\n\n""복만아, 네가 온 뒤로 부쩍 좋은 일이\n많이 생긴 것 같아.""\n\n""행운을 빌어준 거지?""",203,Event_skip_page,넘기기,,,,,,,
